window_label,event_type,event_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,effective_change_cut,match_tolerance_ka,n_detected,n_published,n_matched,n_unmatched_detected,n_unmatched_published,precision,recall,f1,median_abs_age_error_ka,mean_abs_age_error_ka
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.0,default,False,0.5534439014047682,0.8,87,87,77,10,10,0.8850574712643678,0.8850574712643678,0.8850574712643678,0.02650000000005548,0.11985099606492013
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.0,default,False,0.5534439014047682,0.8,94,90,80,14,10,0.851063829787234,0.8888888888888888,0.8695652173913044,0.035125000000022055,0.11234986391705064
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.0,0.0,False,0.0,0.8,126,87,74,52,13,0.5873015873015873,0.8505747126436781,0.6948356807511737,0.02775000000002592,0.12821866740145818
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.0,0.0,False,0.0,0.8,125,90,75,50,15,0.6,0.8333333333333334,0.6976744186046512,0.05500000000000682,0.12435536890172613
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.0,0.2,False,0.2,0.8,122,87,74,48,13,0.6065573770491803,0.8505747126436781,0.7081339712918661,0.02775000000002592,0.12821866740145818
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.0,0.2,False,0.2,0.8,117,90,75,42,15,0.6410256410256411,0.8333333333333334,0.7246376811594204,0.05500000000000682,0.12435536890172613
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.0,0.4,False,0.4,0.8,99,87,75,24,12,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.028999999999996362,0.12234714564292187
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.0,0.4,False,0.4,0.8,99,90,79,20,11,0.797979797979798,0.8777777777777778,0.835978835978836,0.0514999999999759,0.12080678232553037
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.5,default,False,0.5534439014047682,0.8,88,87,77,11,10,0.875,0.8850574712643678,0.8800000000000001,0.02199999999999136,0.11467076283035749
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.5,default,False,0.5534439014047682,0.8,94,90,80,14,10,0.851063829787234,0.8888888888888888,0.8695652173913044,0.052375000000004945,0.11504440393790469
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.5,0.0,False,0.0,0.8,128,87,75,53,12,0.5859375,0.8620689655172413,0.6976744186046511,0.025949999999966167,0.1163717334012835
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.5,0.0,False,0.0,0.8,124,90,75,49,15,0.6048387096774194,0.8333333333333334,0.7009345794392523,0.05900000000002592,0.1240997062511181
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.5,0.2,False,0.2,0.8,122,87,75,47,12,0.6147540983606558,0.8620689655172413,0.7177033492822965,0.025949999999966167,0.1163717334012835
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.5,0.2,False,0.2,0.8,117,90,75,42,15,0.6410256410256411,0.8333333333333334,0.7246376811594204,0.05900000000002592,0.1240997062511181
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,1.5,0.4,False,0.4,0.8,99,87,75,24,12,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.025949999999966167,0.1163717334012835
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,1.5,0.4,False,0.4,0.8,99,90,79,20,11,0.797979797979798,0.8777777777777778,0.835978835978836,0.05500000000000682,0.11803241904963609
0.6-4,strong_monsoon_start,Strong monsoon starts,0.75,2.0,default,False,0.5534439014047682,0.8,80,87,74,6,13,0.925,0.8505747126436781,0.8862275449101797,0.01999999999999602,0.09634296226871165
0.6-4,weak_monsoon_start,Weak monsoon starts,0.75,2.0,default,False,0.5534439014047682,0.8,88,90,77,11,13,0.875,0.8555555555555555,0.8651685393258427,0.03500000000002501,0.09722086847603344
