window_label,event_type,event_label,published_age_ka,published_order,source_file
0.4-4,strong_monsoon_start,Strong monsoon starts,638.1,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,3.5,1,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,12.779,2,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,17.835,3,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,24.59,4,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,26.65,5,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,27.555,6,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,28.715,7,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,30.42,8,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,31.975,9,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,33.42,10,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,34.75,11,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,36.75,12,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,39.955,13,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,42.475,14,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
0.4-4,weak_monsoon_start,Weak monsoon starts,44.485,15,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
