transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window
52,264.0017,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
53,273.5077,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
54,293.9178,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
55,316.44,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
56,334.69399999999996,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
57,337.3835,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
58,351.4475,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
59,365.6535,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
60,368.115,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
61,370.898,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
62,375.916,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
63,377.221,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
64,390.95164671575753,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
65,393.5816900862267,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
66,415.9197628950841,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
67,426.0392601558315,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
68,447.3791051375909,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
69,449.7844123349564,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
70,458.90002063725,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
71,463.1322604417651,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
72,466.00933331939416,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
73,472.84238140376317,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
74,483.63690170929044,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
75,503.69094043808764,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
76,506.4511,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
77,531.73785,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
78,548.0759499999999,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
79,553.52405,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
80,555.66125,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
81,559.1352,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
82,561.2570499999999,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
83,562.24095,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
84,580.52925,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
85,583.2346,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
86,593.90095,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
87,606.8133,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
88,625.9945,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
89,627.62725,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
90,630.11065,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
91,633.30795,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
92,638.0735,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
93,3.49957375,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
94,12.77875,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
95,24.5925,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
96,26.65,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
97,27.5565,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
98,28.584,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
99,30.45975,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
100,31.9,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
101,33.417500000000004,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
102,34.80075,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
103,36.604,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
104,39.9567,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
105,42.3922,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
106,44.304249999999996,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
107,45.72975,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
108,48.3719,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
109,48.8637,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
110,55.2305,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
111,56.318749999999994,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
112,68.65435,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
113,70.1533,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
114,73.34795,1,weak_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
