window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.4-4,0.68,1.0,0.0,False,0.8,325,196,170,155,26,0.033067606170369856,0.11879588690494353,0.5230769230769231,0.8673469387755102,0.652591170825336,181
0.6-4,0.75,2.0,default,False,0.8,168,177,151,17,26,0.027500000000010516,0.09678191537237255,0.8988095238095238,0.8531073446327684,0.8753623188405797,43
0.6-4,0.77,2.0,default,False,0.8,168,177,151,17,26,0.02762500000000756,0.0970392205671782,0.8988095238095238,0.8531073446327684,0.8753623188405797,43
0.6-4,0.68,2.0,default,False,0.8,169,177,151,18,26,0.026927478443354858,0.0890725897555868,0.893491124260355,0.8531073446327684,0.8728323699421965,44
0.6-4,0.7,2.0,default,False,0.8,169,177,151,18,26,0.026927478443354858,0.0890725897555868,0.893491124260355,0.8531073446327684,0.8728323699421965,44
0.6-4,0.72,2.0,default,False,0.8,169,177,151,18,26,0.026927478443354858,0.0890725897555868,0.893491124260355,0.8531073446327684,0.8728323699421965,44
0.6-4,0.77,1.0,default,False,0.8,179,177,156,23,21,0.03032500000000482,0.11476943291073047,0.8715083798882681,0.8813559322033898,0.8764044943820224,44
0.6-4,0.75,1.0,default,False,0.8,181,177,157,24,20,0.030812500000038767,0.11610042999098538,0.8674033149171271,0.8870056497175142,0.8770949720670391,44
0.6-4,0.68,1.5,default,False,0.8,182,177,157,25,20,0.028009931204550753,0.1005583469464785,0.8626373626373627,0.8870056497175142,0.8746518105849582,45
0.6-4,0.68,1.0,default,False,0.8,182,177,157,25,20,0.03012499999998397,0.10881666307219082,0.8626373626373627,0.8870056497175142,0.8746518105849582,45
0.6-4,0.77,1.5,default,False,0.8,180,177,156,24,21,0.03037500000002069,0.11432704168401188,0.8666666666666667,0.8813559322033898,0.8739495798319329,45
