history_window_ka,dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
2.0,strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Event-process baseline + CO$_2$ + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,95,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.4363465156591,816.8726930313182,816.8990832292448,853.2793502059916,95.0000143334734,0.9742935771081126,0.14890284378287363,-1.9514141301462642,-0.7708689217687674,-2.884973876076311,,-1.8023134672521355,0.15841345594969647,0.6680889802526835,0.6866132161275349,0.2328146704172229,13.339298023636132,3.948068343171311,3.5179199348818884,3.0
2.0,strong_monsoon_start,Strong monsoon starts,baseline_pre_phase,Event-process baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,95,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-409.4119253583151,828.8238507166302,828.8426949377357,859.1627316955246,95.0000589434457,0.8508079227030959,0.14890291370446035,-1.912278707438748,-0.654628044008172,-2.425043226206102,,,0.24692293081004793,0.5906421433550277,0.6401789400369594,0.39597641993841154,22.687777649170922,3.5979271216130826,15.461531643372837,4.0
2.0,strong_monsoon_start,Strong monsoon starts,baseline_lr04,Event-process baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3190,95,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-411.33354069360337,830.6670813872067,830.6796402569084,854.9381861703223,94.99999895359286,1.0637227736359833,0.14890281967647784,-1.9130737524648782,-0.5746894400696245,-2.6932284825412927,1.5950150660706954,,,,,,,,17.29847696254558,5.0
2.0,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2,Climate-state model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3190,95,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-411.22668096126324,832.4533619225265,832.472206143632,862.7922429014209,95.00001788206905,1.078550520104425,0.14890284934493575,-1.911120518099278,-0.5828505833476569,-2.71325303504574,1.2951636593645774,-0.3878044162462725,,,,,,,19.091042849269115,6.0
2.0,strong_monsoon_start,Strong monsoon starts,baseline_co2,Event-process baseline + CO$_2$,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3190,95,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-412.5163665444631,833.0327330889262,833.0452919586279,857.3038378720418,94.99999739561981,0.9521814973604292,0.1489028172345138,-1.8986424598044853,-0.5847890165441632,-2.7458227368585315,,-1.5628671188876981,,,,,,,19.664128664265036,7.0
2.0,strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,Event-process baseline,same_type_history_count+cheng_log_resolution_scaled,0.2,3190,95,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-418.2670240331643,842.5340480663286,842.5415810230141,860.7373766536653,95.00000195821997,0.5878146044696114,0.1489028243859247,-1.8772044437294582,-0.46067941735000073,-2.3736510315749975,,,,,,,,,29.160417728651282,8.0
2.0,strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3190,95,1,True,analytic stationary MLE,-428.8204338969442,859.6408677938884,859.6421224990328,865.7086439896673,95.0,0.14890282131661442,0.1489028213166144,-1.904461391744249,,,,,,,,,,,46.260959204669916,9.0
2.0,weak_monsoon_start,Weak monsoon starts,baseline_co2_pre_phase,Event-process baseline + CO$_2$ + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,99,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-415.85472619830045,843.7094523966009,843.7358425945274,880.1161095712743,99.00000170089173,1.1472950894557787,0.15517241645907792,-1.9369833010687378,-0.6299181615901579,-2.3120704092944178,,-2.651571192379551,-0.4797103361123881,-0.32710794217987443,0.580621746415179,4.113923536143224,235.7104558605421,3.193902402553043,0.0,1.0
2.0,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2_pre_phase,Full predictive model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,99,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-415.714882285286,845.429764570572,845.4649625592584,887.9041979410242,99.00009039160861,1.1352862381971836,0.15517255547274073,-1.9361855798367467,-0.6313110395653622,-2.3041865128335437,0.4718133104429926,-2.2188271144618765,-0.4924849518387157,-0.3147487209003651,0.5844725700116286,4.143712239575407,237.4172228443731,3.2185956794218495,1.7291199647310123,2.0
2.0,weak_monsoon_start,Weak monsoon starts,baseline_lr04_pre_phase,Event-process baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,99,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-418.60168074085357,849.2033614817071,849.2297516796336,885.6100186563805,99.00000511651132,1.0635839215403649,0.15517242181271362,-1.9296670043812698,-0.564816115657073,-2.2282542430209067,2.20119899765346,,-0.5258438454106498,-0.2976978368844548,0.6042646372591588,4.197243610519552,240.4843444710218,3.3485562222904353,5.493909085106225,3.0
