surrogate_id,source,driver,driver_label,event_type,event_label,n_events_total,n_phase_events_used,n_extrapolated_phase_events,mean_phase_rad,mean_phase_deg,mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p
6,surrogate_0006,pre,Precession index,weak_monsoon_start,Weak monsoon starts,138,138,0,3.687971407911881,211.3051966382709,0.15200498149592934,20.97668744643825,3.188560987141739,0.04094607034720768
7,surrogate_0007,pre,Precession index,strong_monsoon_start,Strong monsoon starts,125,125,0,1.2116825670001348,69.42429719868532,0.196356323206105,24.544540400763125,4.819475707877546,0.007850414558614292
7,surrogate_0007,pre,Precession index,weak_monsoon_start,Weak monsoon starts,122,122,0,3.999996283220245,229.18290509653593,0.2667069182986876,32.538244032439884,8.678174792742704,0.00015048265101880303
8,surrogate_0008,pre,Precession index,strong_monsoon_start,Strong monsoon starts,151,151,0,0.9499890072255105,54.43036069784482,0.16823547760400917,25.403557118205384,4.27377956462201,0.013703617715108906
8,surrogate_0008,pre,Precession index,weak_monsoon_start,Weak monsoon starts,145,145,0,4.092698248653557,234.49433646843235,0.19032613609474128,27.597289733737487,5.252485521709327,0.005079752705335629
9,surrogate_0009,pre,Precession index,strong_monsoon_start,Strong monsoon starts,154,154,0,1.0137481586026462,58.08349097709043,0.18203152072547815,28.032854191723636,5.102863078795048,0.00592244860398441
9,surrogate_0009,pre,Precession index,weak_monsoon_start,Weak monsoon starts,153,153,0,3.91170498419147,224.12418629445963,0.1772391879609794,27.117595758029847,4.80630065160731,0.007996969374006445
10,surrogate_0010,pre,Precession index,strong_monsoon_start,Strong monsoon starts,138,138,0,0.94719165365976,54.270084144721444,0.19622985469873916,27.079719948426003,5.313849510762183,0.004765329512336139
10,surrogate_0010,pre,Precession index,weak_monsoon_start,Weak monsoon starts,143,143,0,4.243370299210159,243.12720905590746,0.2321026741427539,33.190682402413806,7.7036461422230875,0.0004168737056022542
11,surrogate_0011,pre,Precession index,strong_monsoon_start,Strong monsoon starts,138,137,1,1.1359553386621009,65.0854466206925,0.17697030048670956,24.24493116667921,4.290632753846809,0.013449030982157651
11,surrogate_0011,pre,Precession index,weak_monsoon_start,Weak monsoon starts,134,134,0,3.8507952969402357,220.63431828350213,0.14940881564994155,20.020781297092167,2.991281221985041,0.04994322614466619
12,surrogate_0012,pre,Precession index,strong_monsoon_start,Strong monsoon starts,143,143,0,0.8514214832403615,48.782857576441266,0.20963806339685612,29.978243065750426,6.28458082034415,0.0017771268250575878
12,surrogate_0012,pre,Precession index,weak_monsoon_start,Weak monsoon starts,132,132,0,4.069654405442748,233.1740215086918,0.221430975562827,29.228888774293164,6.472181355909099,0.001461280087313782
13,surrogate_0013,pre,Precession index,strong_monsoon_start,Strong monsoon starts,130,129,1,0.9521756115584683,54.55564389758832,0.20631263118521342,26.61432942289253,5.490872330467001,0.003970565341567293
13,surrogate_0013,pre,Precession index,weak_monsoon_start,Weak monsoon starts,153,153,0,3.812824909797701,218.4587753537571,0.16041024028159476,24.542766763084,3.936911113641442,0.01926379258108402
14,surrogate_0014,pre,Precession index,strong_monsoon_start,Strong monsoon starts,156,156,0,1.0741055007452616,61.541711944489386,0.2114369323413638,32.98416144525275,6.974069911836526,0.0008840467384322752
14,surrogate_0014,pre,Precession index,weak_monsoon_start,Weak monsoon starts,147,147,0,4.374907386227291,250.66372899143417,0.16280839839690478,23.932834564345,3.8964664645190945,0.020056611191226717
15,surrogate_0015,pre,Precession index,strong_monsoon_start,Strong monsoon starts,144,143,1,0.8010980057836377,45.899534707749254,0.2082532776512289,29.780218704125733,6.201828154304615,0.0019334756472903906
15,surrogate_0015,pre,Precession index,weak_monsoon_start,Weak monsoon starts,139,139,0,3.8735832954698273,221.93997442279803,0.18773620415357875,26.095332377347447,4.899038646649194,0.007262406897187904
16,surrogate_0016,pre,Precession index,strong_monsoon_start,Strong monsoon starts,159,159,0,0.8087733957975876,46.33930216166544,0.1845414389681652,29.342088795938263,5.414831288734125,0.004320349184480355
16,surrogate_0016,pre,Precession index,weak_monsoon_start,Weak monsoon starts,150,149,1,4.0204906364341975,230.3571450395458,0.169301886080054,25.225981025928046,4.270806165909274,0.01374182966719813
17,surrogate_0017,pre,Precession index,strong_monsoon_start,Strong monsoon starts,152,152,0,0.7449369000921384,42.6817403788382,0.1837478872746315,27.929678865743988,5.132019483839385,0.00574792467935744
17,surrogate_0017,pre,Precession index,weak_monsoon_start,Weak monsoon starts,140,140,0,4.066172836733504,232.9745423155673,0.1801671508967145,25.22340112554003,4.544428316713529,0.010405558537723448
18,surrogate_0018,pre,Precession index,strong_monsoon_start,Strong monsoon starts,158,158,0,0.8204120875316466,47.00615007708082,0.16038142881712694,25.340265753106056,4.064108028088858,0.016948944620357728
18,surrogate_0018,pre,Precession index,weak_monsoon_start,Weak monsoon starts,155,154,1,4.110752309007708,235.5287579297997,0.1433770628865392,22.080067684527037,3.1657752529434755,0.04192710221393793
19,surrogate_0019,pre,Precession index,strong_monsoon_start,Strong monsoon starts,153,153,0,0.9678418216696437,55.45325161792385,0.21726750295162528,33.24192795159867,7.222390679341679,0.0006853391621889339
19,surrogate_0019,pre,Precession index,weak_monsoon_start,Weak monsoon starts,138,138,0,3.9129879882518988,224.19769701222035,0.20789707244773198,28.689795997787012,5.964524597062577,0.002458160509296537
20,surrogate_0020,pre,Precession index,strong_monsoon_start,Strong monsoon starts,136,136,0,0.9492561310443295,54.388369985757485,0.2141063395703689,29.11846218157017,6.234447351614207,0.0018656216330105344
20,surrogate_0020,pre,Precession index,weak_monsoon_start,Weak monsoon starts,140,140,0,4.0229949130375,230.50062951964836,0.19944857516869358,27.922800523617102,5.569162779155081,0.003677961175625277
21,surrogate_0021,pre,Precession index,strong_monsoon_start,Strong monsoon starts,152,152,0,0.9321686330222129,53.409328466652056,0.19334049124685174,29.387754669521463,5.681842924447241,0.003289815076183104
21,surrogate_0021,pre,Precession index,weak_monsoon_start,Weak monsoon starts,147,147,0,4.145841949172748,237.53924621588925,0.22594179349563473,33.213443643858305,7.504305025059535,0.0005123475675823264
22,surrogate_0022,pre,Precession index,strong_monsoon_start,Strong monsoon starts,141,141,0,1.0399548411428474,59.58502328168314,0.2128043028971207,30.00540670849402,6.385279657745659,0.0016026002173195884
22,surrogate_0022,pre,Precession index,weak_monsoon_start,Weak monsoon starts,144,143,1,3.7658931510167712,215.76978365048376,0.15895374064055617,22.730384911599533,3.6130797078984034,0.026691978031156968
23,surrogate_0023,pre,Precession index,strong_monsoon_start,Strong monsoon starts,154,154,0,0.8226514366955391,47.13445533302801,0.17327051629237455,26.68365950902568,4.623491459698809,0.009624130601125129
23,surrogate_0023,pre,Precession index,weak_monsoon_start,Weak monsoon starts,140,140,0,4.208495154082634,241.129010430194,0.14759167513672508,20.662834519141512,3.049662359753043,0.047102240506731376
24,surrogate_0024,pre,Precession index,strong_monsoon_start,Strong monsoon starts,139,138,1,0.8899724421812634,50.99166481993707,0.1998399000976407,27.577906213474414,5.511166022602832,0.0038993199590168968
24,surrogate_0024,pre,Precession index,weak_monsoon_start,Weak monsoon starts,139,139,0,3.903618088660738,223.6608413111855,0.22460116220364823,31.219561546307105,7.011949806788901,0.0008444005521177867
25,surrogate_0025,pre,Precession index,strong_monsoon_start,Strong monsoon starts,140,140,0,0.8841682386687922,50.659108455237465,0.15041286261822936,21.057800766552113,3.1673640937414476,0.04183444914004679
25,surrogate_0025,pre,Precession index,weak_monsoon_start,Weak monsoon starts,138,138,0,4.125304923499434,236.36256132105652,0.234778622956673,32.399449968020875,7.606698248045565,0.00045907781747732044
26,surrogate_0026,pre,Precession index,strong_monsoon_start,Strong monsoon starts,139,139,0,1.1942760349537977,68.42697637647099,0.12417393841243454,17.2601774393284,2.143264210338857,0.11720658342135185
26,surrogate_0026,pre,Precession index,weak_monsoon_start,Weak monsoon starts,132,131,1,3.9425655681929945,225.89236751105594,0.14740756502032537,19.310391017662624,2.8464977195040104,0.057778451157364207
27,surrogate_0027,pre,Precession index,strong_monsoon_start,Strong monsoon starts,127,127,0,1.2335338177560566,70.6762816440817,0.1387976220536253,17.627298000810413,2.4466270457431087,0.08639779158167134
27,surrogate_0027,pre,Precession index,weak_monsoon_start,Weak monsoon starts,135,135,0,3.863512048961216,221.36293450341876,0.20459007578150082,27.61966023050261,5.650708379617833,0.003380438496466749
28,surrogate_0028,pre,Precession index,strong_monsoon_start,Strong monsoon starts,161,161,0,0.9994506595381188,57.26430462310076,0.2275179206544651,36.63038522536888,8.334069079247968,0.00022077418780328637
28,surrogate_0028,pre,Precession index,weak_monsoon_start,Weak monsoon starts,148,148,0,3.9764413480885263,227.83330672678403,0.18878181766551588,27.93970901449635,5.2745090528022205,0.004970561718544797
29,surrogate_0029,pre,Precession index,strong_monsoon_start,Strong monsoon starts,136,136,0,1.1545654772257816,66.15172901654505,0.16612680902455265,22.59324602733916,3.753343868028506,0.02315364976601863
29,surrogate_0029,pre,Precession index,weak_monsoon_start,Weak monsoon starts,137,137,0,3.8616590780032793,221.25676708796865,0.1938005542760585,26.550675935820014,5.145535712765927,0.0056525722003364035
30,surrogate_0030,pre,Precession index,strong_monsoon_start,Strong monsoon starts,128,128,0,0.8135022481991938,46.61024544621778,0.24044354148391517,30.77677330994114,7.400076370089886,0.0005639221208059048
30,surrogate_0030,pre,Precession index,weak_monsoon_start,Weak monsoon starts,133,133,0,4.290735830264833,245.84105407973607,0.16626308801884485,22.112990706506366,3.676574120195766,0.025014114912872313
31,surrogate_0031,pre,Precession index,strong_monsoon_start,Strong monsoon starts,139,139,0,1.1409356018963532,65.37079468487933,0.10961073634438077,15.235892351868927,1.6700173795520725,0.1884318624420179
31,surrogate_0031,pre,Precession index,weak_monsoon_start,Weak monsoon starts,150,150,0,4.157817057429156,238.22536937819368,0.20300751918775783,30.451127878163675,6.181807927015179,0.0019776715550656743
32,surrogate_0032,pre,Precession index,strong_monsoon_start,Strong monsoon starts,148,148,0,1.0300842135111261,59.0194779772403,0.1539121815450554,22.7790028686682,3.5059660249377975,0.02974824822464541
32,surrogate_0032,pre,Precession index,weak_monsoon_start,Weak monsoon starts,139,139,0,4.226556514309631,242.1638501434664,0.14938276159362618,20.764203861514037,3.101814115126004,0.04468921057590826
33,surrogate_0033,pre,Precession index,strong_monsoon_start,Strong monsoon starts,134,134,0,0.6312239363962928,36.16646748314189,0.13689228192076028,18.343565777381876,2.51109257782937,0.08098396609640315
33,surrogate_0033,pre,Precession index,weak_monsoon_start,Weak monsoon starts,130,130,0,3.850261371383068,220.60372660250223,0.19073532803876056,24.795592645038873,4.729395497066968,0.008611302522934412
34,surrogate_0034,pre,Precession index,strong_monsoon_start,Strong monsoon starts,139,139,0,1.0622475968166147,60.862304095506325,0.18989293953036093,26.39511859472017,5.012246659203902,0.006474361846159374
34,surrogate_0034,pre,Precession index,weak_monsoon_start,Weak monsoon starts,145,144,1,4.248083224632701,243.39723979177901,0.22802445309591382,32.83552124581159,7.487301774195447,0.0005205357299130271
35,surrogate_0035,pre,Precession index,strong_monsoon_start,Strong monsoon starts,142,141,1,0.7612552810310905,43.616714735126884,0.20304759360343586,28.629710698084455,5.813193862808592,0.002870267252159405
35,surrogate_0035,pre,Precession index,weak_monsoon_start,Weak monsoon starts,144,144,0,4.056002268276394,232.39181166772607,0.26493447621848165,38.15056457546136,10.107399843239216,3.51715320610844e-05
36,surrogate_0036,pre,Precession index,strong_monsoon_start,Strong monsoon starts,158,158,0,1.001642312173206,57.38987706924999,0.2142174071015186,33.84635032203994,7.250477405837045,0.000667342100056281
36,surrogate_0036,pre,Precession index,weak_monsoon_start,Weak monsoon starts,157,157,0,3.6141921973538502,207.07795925748871,0.1904995316235322,29.908426464894557,5.697541233159267,0.003241481986644473
37,surrogate_0037,pre,Precession index,strong_monsoon_start,Strong monsoon starts,148,148,0,0.6148434670902133,35.22793572545995,0.19646336756337104,29.076578399378914,5.712482509562355,0.0031858654615997584
37,surrogate_0037,pre,Precession index,weak_monsoon_start,Weak monsoon starts,151,150,1,4.301092022476702,246.43442018530243,0.20234013223417863,30.351019835126795,6.141229366881734,0.002061057294391565
38,surrogate_0038,pre,Precession index,strong_monsoon_start,Strong monsoon starts,156,156,0,1.0657930398801632,61.06544301955159,0.12557995512768047,19.590472999918152,2.460170720259758,0.08526463537490221
38,surrogate_0038,pre,Precession index,weak_monsoon_start,Weak monsoon starts,167,167,0,3.7795235591047125,216.55074850696377,0.15239307312900666,25.449643212544114,3.8783493391963626,0.02045806023871981
39,surrogate_0039,pre,Precession index,strong_monsoon_start,Strong monsoon starts,161,161,0,1.0501950789898529,60.17174569152668,0.20279756548486447,32.65040804306318,6.621423263220651,0.0012684194233386298
39,surrogate_0039,pre,Precession index,weak_monsoon_start,Weak monsoon starts,154,153,1,3.803919071412721,217.9485084012721,0.1967713848599175,30.106021883567376,5.924003618652534,0.0025727962374569873
40,surrogate_0040,pre,Precession index,strong_monsoon_start,Strong monsoon starts,162,162,0,1.0423649740438687,59.72311372497728,0.1700596442725589,27.549662372154543,4.685085782837702,0.009051871354710393
40,surrogate_0040,pre,Precession index,weak_monsoon_start,Weak monsoon starts,144,144,0,3.9440408238454983,225.97689343364723,0.11661938135252099,16.793190914763024,1.9584115354144398,0.1411027880870222
41,surrogate_0041,pre,Precession index,strong_monsoon_start,Strong monsoon starts,153,153,0,0.8901388764111979,51.001200798878834,0.2443909821271652,37.391820265456275,9.138223678197297,9.627060186501846e-05
41,surrogate_0041,pre,Precession index,weak_monsoon_start,Weak monsoon starts,148,148,0,3.9025789182569417,223.60130123285305,0.12351714786525418,18.28053788405762,2.257959900881526,0.10446034079077765
42,surrogate_0042,pre,Precession index,strong_monsoon_start,Strong monsoon starts,147,147,0,1.29619210981211,74.26633733039165,0.19657284170447087,28.89620773055722,5.680209668078332,0.003291271117244604
42,surrogate_0042,pre,Precession index,weak_monsoon_start,Weak monsoon starts,138,138,0,3.7392397975162384,214.242658985033,0.14446846217150142,19.936647779667197,2.880216845583398,0.055863086808297206
43,surrogate_0043,pre,Precession index,strong_monsoon_start,Strong monsoon starts,148,147,1,0.44396051606136433,25.437063840766175,0.1508084918115056,22.168848296291323,3.34325057676176,0.035050365588869536
43,surrogate_0043,pre,Precession index,weak_monsoon_start,Weak monsoon starts,129,129,0,3.9303030580487066,225.18977743355188,0.23832959524051403,30.74451778602631,7.327328479808435,0.000608006311804038
44,surrogate_0044,pre,Precession index,strong_monsoon_start,Strong monsoon starts,157,157,0,1.0419084430400902,59.696956425243904,0.1555412797424245,24.419980919560643,3.7983150835140504,0.022163256535211742
44,surrogate_0044,pre,Precession index,weak_monsoon_start,Weak monsoon starts,137,137,0,4.105096888667153,235.20472621291344,0.14491910262381552,19.853917059462727,2.8772118438250005,0.05603046424540095
45,surrogate_0045,pre,Precession index,strong_monsoon_start,Strong monsoon starts,147,147,0,1.0924728594817625,62.59408408089363,0.20159718028963902,29.634785502576936,5.974289195807784,0.0024405394132088975
45,surrogate_0045,pre,Precession index,weak_monsoon_start,Weak monsoon starts,143,143,0,3.8780742568480053,222.1972875557239,0.14134827265703037,20.212802989955343,2.8570447881870464,0.05719077256697046
46,surrogate_0046,pre,Precession index,strong_monsoon_start,Strong monsoon starts,155,155,0,0.7418792754696175,42.50655139263247,0.15025952960753716,23.29022708916826,3.499578566871142,0.029952767130518386
46,surrogate_0046,pre,Precession index,weak_monsoon_start,Weak monsoon starts,159,159,0,4.416959092978522,253.0731143096015,0.13747600152511602,21.858684242493446,3.0050445082580586,0.04929989385733378
47,surrogate_0047,pre,Precession index,strong_monsoon_start,Strong monsoon starts,152,152,0,0.9652117633019361,55.30256037358114,0.18424813470148413,28.005716474625586,5.160001021428388,0.005587132044725692
47,surrogate_0047,pre,Precession index,weak_monsoon_start,Weak monsoon starts,137,137,0,3.994626175515577,228.8752205895278,0.1725430032353338,23.63839144324073,4.078639051269173,0.016666783666016007
48,surrogate_0048,pre,Precession index,strong_monsoon_start,Strong monsoon starts,144,144,0,0.9552631607046835,54.73254743270567,0.1730968572233241,24.92594744015867,4.314603165205226,0.01313860151009167
48,surrogate_0048,pre,Precession index,weak_monsoon_start,Weak monsoon starts,146,146,0,4.132478963480409,236.7736035340245,0.17854974915292696,26.068263376327337,4.654481886695679,0.009316388753134796
49,surrogate_0049,pre,Precession index,strong_monsoon_start,Strong monsoon starts,142,141,1,0.8109827086675794,46.4658864647399,0.1633499681004894,23.032345502169008,3.762332903058758,0.022954504543942177
49,surrogate_0049,pre,Precession index,weak_monsoon_start,Weak monsoon starts,141,141,0,3.953530734404572,226.5206252566388,0.19062705834201596,26.87841522622425,5.12375322747038,0.005783977063593657
50,surrogate_0050,pre,Precession index,strong_monsoon_start,Strong monsoon starts,137,137,0,0.8369423145309327,47.95326231853311,0.20838591400595072,28.54887021881525,5.949182414385081,0.002496064037923239
50,surrogate_0050,pre,Precession index,weak_monsoon_start,Weak monsoon starts,145,145,0,3.9120449689340218,224.14366598530668,0.2604613745442864,37.76689930892153,9.836818506277362,4.655922614636337e-05
