age_ka,d18o_raw,d18o_lowpass_10kyr,d18o_residual_lt10kyr
31.6,-8.553309352517983,-9.03413457204409,0.4808252195261069
31.7,-8.761585365853659,-9.042289276313436,0.2807039104597777
31.8,-8.355714285714285,-9.05006782849109,0.6943535427768044
31.9,-8.62499999999999,-9.057476533786444,0.43247653378645445
32.0,-8.974545454545458,-9.064521412658094,0.08997595811263537
32.1,-9.383783783783786,-9.07120818851356,-0.31257559527022494
32.2,-9.503499999999999,-9.0775422799864,-0.42595772001359933
32.3,-9.254756756756759,-9.083528797403776,-0.17122795935298285
32.4,-9.786460176991145,-9.089172543037435,-0.6972876339537102
32.5,-10.00699029126212,-9.094478014763363,-0.9125122764987577
32.6,-9.83336633663365,-9.099449412829467,-0.733916923804184
32.7,-8.57333333333334,-9.104090649538442,0.5307573162051025
32.8,-8.504077669902912,-9.108405361785755,0.6043276918828422
32.9,-8.809225352112668,-9.112396926518764,0.30317157440609677
33.0,-8.693137254901954,-9.116068479253684,0.42293122435173025
33.1,-8.75591836734694,-9.119422935776786,0.36350456842984613
33.2,-8.678767123287656,-9.122463017084286,0.44369589379662955
33.3,-8.629811320754694,-9.125191277519182,0.49537995676448787
33.4,-9.063437499999997,-9.127610135964625,0.06417263596462774
33.5,-9.373355263157897,-9.129721909856292,-0.24363335330160574
33.6,-9.483749999999999,-9.1315288516873,-0.35222114831269913
33.7,-9.439142857142857,-9.133033187615471,-0.3061096695273857
33.8,-9.229160839160853,-9.134237157761792,-0.09492368139906127
33.9,-9.50801470588234,-9.13514305781289,-0.3728716480694505
34.0,-9.480492957746447,-9.135753281592805,-0.3447396761536421
34.1,-8.739927007299247,-9.136070364331315,0.39614335703206827
34.2,-8.51285714285717,-9.136097026415285,0.6232398835581154
34.3,-8.673943661971835,-9.135836217453088,0.46189255548125274
34.4,-8.68111111111111,-9.135291160488558,0.4541800493774488
34.5,-8.73924528301887,-9.134465396154456,0.39522011313558636
34.6,-8.896504854368965,-9.133362826465053,0.23685797209608772
34.7,-9.186020408163268,-9.131987757839385,-0.05403265032388305
34.8,-9.389393939393937,-9.130344942845895,-0.25904899654804225
34.9,-9.38,-9.128439620082288,-0.25156037991771285
35.0,-9.728415841584154,-9.12627755156361,-0.6021382900205428
35.1,-10.215660377358489,-9.123865056994289,-1.0917953203642004
35.2,-9.914999999999992,-9.121209044348726,-0.7937909556512661
35.3,-9.395419847328258,-9.118317036282347,-0.2771028110459106
35.4,-9.694496124031001,-9.115197192037533,-0.5792989319934687
35.5,-9.750322580645163,-9.111858324677089,-0.6384642559680742
35.6,-8.808000000000003,-9.10830991364189,0.3003099136418861
35.7,-8.729534883720952,-9.104562112769218,0.3750272290482659
35.8,-8.924814814814821,-9.100625754014676,0.17581093919985413
35.9,-8.672929936305763,-9.096512347180658,0.4235824108748947
36.0,-8.27910958904109,-9.092234075958043,0.8131244869169532
36.1,-8.51902097902098,-9.087803790541049,0.5687828115200695
36.2,-8.567021276595746,-9.083234996991928,0.5162137203961823
36.3,-8.718671328671327,-9.07854184342013,0.3598705147488026
36.4,-8.644870129870139,-9.073739102908867,0.4288689730387283
36.5,-9.014146341463425,-9.068842152987436,0.05469581152401126
36.6,-9.022368421052619,-9.063866951326826,0.04149853027420747
36.7,-9.687500000000012,-9.058830007238946,-0.6286699927610666
36.8,-9.350961538461533,-9.053748348494274,-0.297213189967259
36.9,-9.49011904761905,-9.048639482949362,-0.4414795646696881
37.0,-9.61774193548387,-9.043521354500642,-0.5742205809832281
37.1,-9.464615384615378,-9.038412292947958,-0.42620309166741954
37.2,-9.464719101123574,-9.03333095744502,-0.4313881436785536
37.3,-9.539080459770133,-9.028296273321363,-0.5107841864487703
37.4,-9.551034482758615,-9.023327362173363,-0.5277071205852515
37.5,-9.952470588235293,-9.018443465236983,-0.9340271229983106
37.6,-9.779101123595497,-9.013663860174347,-0.7654372634211501
37.7,-9.636043956043933,-9.009007771538899,-0.6270361845050338
37.8,-9.748461538461576,-9.00449427533703,-0.7439672631245458
37.9,-9.77,-9.000142198275697,-0.769857801724303
38.0,-9.514347826086961,-8.995970012464086,-0.5183778136228749
38.1,-9.327794117647072,-8.991995726513816,-0.33579839113325605
38.2,-9.832608695652173,-8.988236774151195,-0.8443719215009775
38.3,-9.320000000000054,-8.9847099016128,-0.33529009838725443
38.4,-8.398407079646006,-8.98143105523875,0.5830239755927433
38.5,-8.468,-8.978415270803914,0.5104152708039145
38.6,-8.48169811320755,-8.975676566219644,0.49397845301209387
38.7,-8.211028037383167,-8.973227839270509,0.7621998018873413
38.8,-8.10696078431372,-8.97108077200808,0.8641199876943588
38.9,-8.040727272727278,-8.969245743320329,0.9285184705930511
39.0,-8.266915887850468,-8.967731751051637,0.7008158632011696
39.1,-7.884999999999993,-8.966546344876445,1.0815463448764522
39.2,-8.108720930232545,-8.96569557093664,0.8569746407040952
39.3,-7.989230769230771,-8.965183929046807,0.9759531598160365
39.4,-7.868888888888889,-8.965014343057073,1.0961254541681837
39.5,-7.516823529411772,-8.9651881447405,1.4483646153287282
39.6,-7.586250000000061,-8.965705071337274,1.3794550713372127
39.7,-8.514117647058827,-8.966563276634242,0.4524456295754149
