driver,driver_label,age_ka,source,value,phase_unwrapped_rad,phase_rad,phase_deg,phase_extrapolated
obl,Obliquity,584.4,data/raw/obl_800_inter100.txt,0.414978,92.05007353612424,4.085479235610038,234.08071748878882,False
obl,Obliquity,584.5,data/raw/obl_800_inter100.txt,0.414842,92.06416139555739,4.099567095043184,234.8878923766817,False
obl,Obliquity,584.6,data/raw/obl_800_inter100.txt,0.414704,92.07824925499054,4.113654954476331,235.69506726457456,False
obl,Obliquity,584.7,data/raw/obl_800_inter100.txt,0.414566,92.09233711442367,4.127742813909464,236.50224215246664,False
obl,Obliquity,584.8,data/raw/obl_800_inter100.txt,0.414426,92.1064249738568,4.1418306733425965,237.3094170403587,False
obl,Obliquity,584.9,data/raw/obl_800_inter100.txt,0.414285,92.12051283328994,4.155918532775729,238.11659192825076,False
obl,Obliquity,585.0,data/raw/obl_800_inter100.txt,0.414143,92.13460069272308,4.170006392208876,238.92376681614365,False
obl,Obliquity,585.1,data/raw/obl_800_inter100.txt,0.414,92.14868855215622,4.1840942516420085,239.7309417040357,False
obl,Obliquity,585.2,data/raw/obl_800_inter100.txt,0.413856,92.16277641158936,4.198182111075155,240.53811659192857,False
obl,Obliquity,585.3,data/raw/obl_800_inter100.txt,0.413711,92.1768642710225,4.212269970508288,241.34529147982065,False
obl,Obliquity,585.4,data/raw/obl_800_inter100.txt,0.413565,92.19095213045563,4.226357829941421,242.15246636771272,False
obl,Obliquity,585.5,data/raw/obl_800_inter100.txt,0.413417,92.20503998988877,4.2404456893745675,242.9596412556056,False
obl,Obliquity,585.6,data/raw/obl_800_inter100.txt,0.413269,92.21912784932191,4.2545335488077,243.76681614349766,False
obl,Obliquity,585.7,data/raw/obl_800_inter100.txt,0.41312,92.23321570875505,4.268621408240847,244.57399103139053,False
obl,Obliquity,585.8,data/raw/obl_800_inter100.txt,0.41297,92.24730356818819,4.2827092676739795,245.38116591928258,False
obl,Obliquity,585.9,data/raw/obl_800_inter100.txt,0.412819,92.26139142762132,4.296797127107112,246.18834080717465,False
obl,Obliquity,586.0,data/raw/obl_800_inter100.txt,0.412667,92.27547928705447,4.310884986540259,246.99551569506752,False
obl,Obliquity,586.1,data/raw/obl_800_inter100.txt,0.412515,92.2895671464876,4.324972845973392,247.8026905829596,False
obl,Obliquity,586.2,data/raw/obl_800_inter100.txt,0.412361,92.30365500592075,4.339060705406538,248.60986547085247,False
obl,Obliquity,586.3,data/raw/obl_800_inter100.txt,0.412207,92.31774286535386,4.353148564839657,249.41704035874372,False
obl,Obliquity,586.4,data/raw/obl_800_inter100.txt,0.412052,92.33183072478701,4.367236424272804,250.22421524663662,False
obl,Obliquity,586.5,data/raw/obl_800_inter100.txt,0.411896,92.34591858422016,4.3813242837059505,251.0313901345295,False
obl,Obliquity,586.6,data/raw/obl_800_inter100.txt,0.41174,92.36000644365329,4.395412143139083,251.83856502242153,False
obl,Obliquity,586.7,data/raw/obl_800_inter100.txt,0.411583,92.37409430308644,4.40950000257223,252.64573991031443,False
obl,Obliquity,586.8,data/raw/obl_800_inter100.txt,0.411426,92.38818216251956,4.423587862005348,253.45291479820568,False
obl,Obliquity,586.9,data/raw/obl_800_inter100.txt,0.411267,92.4022700219527,4.437675721438495,254.26008968609855,False
obl,Obliquity,587.0,data/raw/obl_800_inter100.txt,0.411109,92.41635788138585,4.451763580871642,255.06726457399142,False
