age_ka,age_uncertainty_2sigma_kyr,uncertainty_status,uncertainty_method,source
2.421071,0.0562727272727272,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.4406619999999997,0.0568181818181818,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.460253,0.0573636363636363,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.479844,0.0579090909090909,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.499435,0.0584545454545454,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.627072,0.138,ok,depth_exact_control,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.652768,0.1344347826086956,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.678464,0.1308695652173913,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.70416,0.1273043478260869,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.7298560000000003,0.1237391304347826,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.755552,0.1201739130434782,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.781248,0.1166086956521739,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.83264,0.1094782608695652,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.89688,0.0987826086956521,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
2.96112,0.0916521739130434,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.02536,0.0809565217391304,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.0896,0.0738260869565217,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.15384,0.0631304347826087,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.21763,0.0595652173913043,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.3304074999999997,0.0568888888888888,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.443185,0.0582222222222222,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.5559625,0.0595555555555555,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.63122,0.0608421052631578,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.6492025,0.0618947368421052,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.667185,0.0629473684210526,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.6851675,0.064,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.70315,0.0650526315789473,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.7211325,0.0661052631578947,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.739115,0.0671578947368421,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.7570975,0.0682105263157894,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.77508,0.0692631578947368,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.7930625,0.0703157894736842,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.811045,0.0713684210526315,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.8290275,0.0724210526315789,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.84701,0.0734736842105263,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.8649925,0.0745263157894736,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.882975,0.075578947368421,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.9009575,0.0766315789473684,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.91894,0.0776842105263158,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.9369225,0.0787368421052631,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.954905,0.0797894736842105,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.9728875,0.0808421052631579,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
3.99087,0.0818947368421052,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.0088525,0.0829473684210526,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.0304315,0.0825652173913043,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.1177945,0.0567391304347826,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.126345000000001,0.0553043478260869,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.1348955,0.0538695652173913,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.143446,0.0524347826086956,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.1520005,0.051,ok,depth_exact_control,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.175479,0.0507826086956521,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.198957500000001,0.0505652173913043,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
4.222436,0.0503478260869565,ok,depth_linear_between_controls,age_scale_uncertainty/cheng2016_composite_age_uncertainty_from_best_match.csv
