realization_id,catalogue_kind,event_type,event_label,n_events,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
313,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.504582003884817,0.19749231442639795,3.744308568719542,0.023245596973950976,3175,95,11.967292806387832,0.002519621963505832,-7.95086152541694,0.09086923149811522,24.936546428395673,5.180953113236089e-05,-16.90875032029294,True,-410.65432452924483,-416.63797093243875,-423.12259774344267,-428.3726718739948,3.919530691949258,2.8732453541058014
313,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,230.3121560136599,0.18882172254938048,3.565364290651522,0.027888095527711567,3175,98,10.007832465249294,0.006711611233375968,-5.991401184278402,0.07366454218195269,33.02126237961204,1.1825670730807781e-06,-24.993466271509305,True,-419.3623661038337,-424.36628233645837,-435.87299729363974,-438.85335240031077,238.36339983154758,2.611898486860414
314,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,22.50568175925067,0.2381470189252949,5.444544251808458,0.0041078992253811,3175,95,17.00488034773366,0.0002029724760923917,-12.988449066762769,0.12912029762413446,30.842936746052374,3.2957432476507046e-06,-22.81514063794964,True,-406.7632165807048,-415.26565675457164,-422.184684953731,-428.3726718739932,2.1986427776180393,3.6331368924900374
314,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,208.86858236977963,0.24086090803558594,5.801397701972698,0.002856281223423428,3175,98,12.67983142593323,0.0017644509509031178,-8.663400144962338,0.0933322954974587,33.85691953891137,7.972716401295278e-07,-25.829123430808636,True,-417.3368858000916,-423.6768015130582,-434.26534556954726,-438.85335240031,214.82685950345166,2.967779885076677
315,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.63245411477074,0.23083357205508595,5.115277246820213,0.005753605112439169,3175,95,16.37353292616922,0.00027831236412724275,-12.357101645198327,0.12432639344429731,28.83140369776129,8.45869832629664e-06,-20.803607589658554,True,-410.300913496637,-418.4876799597216,-424.71661534551765,-428.37267187399567,3.856305638189816,3.508684181270351
315,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,223.4641753674389,0.21233494941736436,4.508613074407468,0.010699734059674887,3175,98,10.881744969835268,0.004335698788226879,-6.865313688864376,0.08009714032754982,33.0681057933881,1.1567363301114197e-06,-25.040309685285365,True,-418.02616247021115,-423.4670349551288,-434.5602153669052,-438.8533524003079,230.7229491848362,2.69803663921566
316,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,18.736839723809748,0.2137283968919883,4.38526345324985,0.012117170203340025,3175,95,13.559680396211888,0.0011364564917097826,-9.543249115240997,0.10296044033502204,24.590453584898,6.080602312014072e-05,-16.562657476795266,True,-409.91129577935897,-416.6911359774649,-422.20652257180797,-428.3726718739938,0.17699908970218708,3.109856403168609
316,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,218.43978222256771,0.23848027210744058,5.68728401844389,0.0032106140202013194,3175,98,14.073757889728881,0.0008788652731755195,-10.05732660875799,0.10359255466420296,37.62371025204163,1.3398009085305768e-07,-29.5959141439389,True,-416.3487326934122,-423.38561163827666,-435.16058781943303,-438.8533524003108,222.08995819964315,3.110168947120199
317,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,17.874400386565778,0.22688967368025814,4.941976706182467,0.006868232467190995,3175,95,18.45896460120889,9.810401146836843e-05,-14.442533320237999,0.14016135100057361,33.619819071149095,8.916835626448448e-07,-25.59202296304636,True,-404.87858692018244,-414.1080692207869,-421.688496455757,-428.37267187399414,354.9621418800022,3.835365613847153
317,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.0479471937461,0.23590283210788332,5.565014619652018,0.003638905608649486,3175,99,15.098756791763435,0.0005264372610011005,-11.082325510792543,0.11001465427810941,37.36298784881387,1.5163111740541905e-07,-29.33519174071114,True,-419.2320237511016,-426.78140214698334,-437.91351767550856,-442.32636305802873,228.56319066339879,3.2844315062129534
318,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,13.612091939659441,0.21023199554872254,4.242959227430218,0.014005684838900617,3175,95,14.336167119745141,0.0007707985058453382,-10.31973583877425,0.10885640636321964,25.88377162636118,3.339888184348919e-05,-17.855975518258447,True,-408.55372883322997,-415.72181239310254,-421.49561464641056,-428.372671873993,354.4236258336645,3.224315729308368
318,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.75617239567288,0.20498699298278336,4.2019667292123675,0.014616791654824622,3175,98,10.419839657603575,0.0054621115741172715,-6.403408376632683,0.07669719898409609,35.09542588751208,4.440332216641907e-07,-27.067629779409344,True,-416.25236277639186,-421.46228260519365,-433.8000757201479,-438.85335240030827,232.7910200687161,2.6434951485635154
319,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,15.924507367538448,0.2224289048735316,4.749563301430902,0.008358835310125719,3175,95,16.771299848784338,0.00022811745129421083,-12.754868567813446,0.12734669011106833,30.421355765048816,4.016869344066688e-06,-22.39355965694608,True,-406.00858327100144,-414.3942331953936,-421.21926115352585,-428.3726718739939,355.40555223289203,3.6114288651237985
319,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.8150285743048,0.2088960074808604,4.363754194144368,0.012399380134764543,3175,98,11.956734099371943,0.002532959113344689,-7.940302818401051,0.08800980097138708,34.767685110371076,5.184768810828763e-07,-26.73988900226834,True,-418.05591222033837,-424.03427927002434,-435.4397547755239,-438.85335240030975,234.17457605210717,2.8380188026088584
320,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,14.167284070857173,0.2385560507257154,5.463262976433609,0.004029892995085679,3175,95,19.412031102414176,6.0915947659030216e-05,-15.395599821443284,0.14739811055281712,34.581764587492444,5.66108776050303e-07,-26.55396847938971,True,-405.04333409031017,-414.74934964151726,-422.3342163840564,-428.3726718739931,355.1125578974345,3.994485511451553
320,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,217.9264430627066,0.22695702591751682,5.1509491613324405,0.005557457051578034,3175,98,12.795110915945429,0.001665623988361893,-8.778679634974537,0.09418083196968732,32.15593384464137,1.7777220264110748e-06,-24.128137736538633,True,-419.7413476203381,-426.1389030783108,-435.8193145426588,-439.54649958086895,227.36774563217935,2.986992309296343
321,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,22.629937782195235,0.2806120551552826,7.559340047853251,0.00046494680248824593,3175,94,23.024461470418828,1.0006949711414305e-05,-19.008030189447936,0.176687640332512,33.6065102422541,8.97301591872427e-07,-25.57871413415137,True,-403.3372566429662,-414.84948737817564,-420.1405117640933,-424.858204131339,8.201164993015693,4.590309392405667
321,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,222.35461929304492,0.2042542156464458,4.171978460934478,0.01506917580860507,3175,98,10.255420637651127,0.005930123031857624,-6.238989356680236,0.0754869617151511,29.90214851705548,5.124138831519897e-06,-21.874352408952745,True,-420.71170460467266,-425.8394149234982,-435.6627788632004,-438.85335240030827,232.1070044142771,2.6418752950274196
322,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.04191460911072,0.19898461541730447,3.8011082085861663,0.02194356092225675,3175,95,13.187301821050028,0.0013690326129129136,-9.170870540079136,0.10013292073649932,27.995498288208864,1.2499161307317526e-05,-19.96770218010613,True,-409.40494166449827,-415.9985925750233,-423.4026908086027,-428.3726718739937,358.06837921645115,3.0590339577263506
322,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.45318672302628,0.22336675159231073,4.9892705716901045,0.00655504554476603,3175,98,11.252291341719229,0.0036024335677421466,-7.235860060748337,0.08282461692518445,31.884322568509674,2.0201151999432704e-06,-23.85652646040694,True,-417.7397007081379,-423.3658463789975,-433.6818619923927,-438.8533524003076,232.20484570300457,2.75436363363814
323,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,20.00024263010718,0.25194922017538257,6.093927316510406,0.002109897990659668,3175,95,18.127808122443867,0.00011577011953544659,-14.111376841472975,0.13764683621282336,29.248031887464208,6.960865557126687e-06,-21.220235779361474,True,-407.91608180984065,-416.9799858710626,-422.54009775357275,-428.3726718739948,3.7973880782039062,3.774152272607533
323,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,220.17219189068902,0.24509678305856997,6.007243306565971,0.0023126489492370536,3175,99,15.912676933251191,0.00035043389662908796,-11.8962456522803,0.1159451520144934,39.24944112635694,6.187001533770191e-08,-31.221645018254208,True,-418.82332789933236,-426.77966636595795,-438.4480484625108,-442.3263630580279,225.33816863844606,3.358205295428848
324,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,15.011465040575718,0.23372463300866167,5.244211591203224,0.005042845611648711,3175,95,17.183909030008635,0.0001855929886484541,-13.167477749037744,0.13047968600358179,29.823185922481116,5.3172994768151465e-06,-21.79538981437838,True,-406.341513086164,-414.93346760116833,-421.2531060474046,-428.37267187399317,357.0514120009049,3.644114011594506
324,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.21499835860865,0.2422312007658282,5.867595462445497,0.002668855215531848,3175,98,13.507156667361528,0.0011666973101222315,-9.490725386390636,0.09942197928833049,32.60573199224905,1.4383788979684706e-06,-24.577935884146314,True,-416.85959289006274,-423.6131712237435,-433.16245888618727,-438.8533524003095,233.90236751785804,3.0768403306739875
325,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.696400128793034,0.24982149641577334,5.991434886855959,0.002344231991458184,3175,95,18.47171572928437,9.748053268725982e-05,-14.455284448313478,0.14025817199657484,30.87830438848607,3.241461091515013e-06,-22.850508280383337,True,-407.0600003906278,-416.29585825527,-422.49915258487084,-428.3726718739939,5.023406335190357,3.8433579230751693
325,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.868504645263,0.20555788743555567,4.225404508696857,0.014272652558119554,3175,98,11.55448157131309,0.003097249604517999,-7.538050290342198,0.08504894521926691,37.690112910649304,1.2982200405472163e-07,-29.66231680254657,True,-415.15838342728705,-420.9356242129436,-434.0034398826117,-438.8533524003093,233.03661737212133,2.824786576047246
326,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,12.639122989344605,0.2441004734415846,5.720163948902951,0.0030969497258278005,3175,94,20.696446412795922,3.204968489234732e-05,-16.68001513182503,0.15882266278598325,32.314369834877084,1.6499461846677287e-06,-24.28657372677435,True,-402.9618509086696,-413.31007411506755,-419.11903582610813,-424.8582041313382,354.3222168426071,4.258976226428865
326,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.06899369983267,0.21573732745441113,4.654259445717181,0.009224629806510015,3175,99,13.613305405006031,0.0011063901255465537,-9.59687412403514,0.09919115251469254,42.204449031370814,1.5130606025181054e-08,-34.17665292326808,True,-416.247290450465,-423.05394315296803,-437.3495149661504,-442.3263630580267,230.55174595991056,3.040717094272083
