realization_id,sampled_age_ka,event_index,event_type,event_label,event_short_label,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sampled_minus_published_ka
1,69.58528311646985,21,strong_monsoon_start,Strong monsoon starts,Strong,69.18,1.2415337136586593,0.6207668568293296,67.93846628634135,70.42153371365866,0.9544997361036407,0.40528311646984605
1,71.66463870755234,22,strong_monsoon_start,Strong monsoon starts,Strong,72.285,1.253648105063711,0.6268240525318555,71.03135189493628,73.53864810506371,0.9544997361036427,-0.6203612924476545
1,75.2461686694173,23,strong_monsoon_start,Strong monsoon starts,Strong,75.28,1.2654453122236136,0.6327226561118068,74.01455468777638,75.7625,0.7543921354730988,-0.03383133058270005
1,76.19881380526658,24,strong_monsoon_start,Strong monsoon starts,Strong,76.245,1.269270014170808,0.634635007085404,75.7625,77.51427001417082,0.7537061082321417,-0.04618619473342278
1,84.23964120758977,25,strong_monsoon_start,Strong monsoon starts,Strong,84.13,1.3009578647113191,0.6504789323556596,82.82904213528867,84.565,0.7254185663670746,0.10964120758977458
1,84.9012606991525,26,strong_monsoon_start,Strong monsoon starts,Strong,85.0,1.304502271859638,0.652251135929819,84.565,86.30450227185963,0.7248385797716621,-0.09873930084749816
1,90.01278499105942,27,strong_monsoon_start,Strong monsoon starts,Strong,89.79,1.3241905902235755,0.6620952951117878,88.46580940977643,91.11419059022359,0.9544997361036422,0.22278499105941307
1,104.61245918608716,28,strong_monsoon_start,Strong monsoon starts,Strong,105.15,1.3893512486655026,0.6946756243327513,103.7606487513345,106.53935124866551,0.954499736103642,-0.537540813912841
1,109.05192181616836,29,strong_monsoon_start,Strong monsoon starts,Strong,108.55,1.4042028463785103,0.7021014231892552,107.14579715362149,109.95420284637851,0.9544997361036416,0.5019218161683625
1,128.52904148586748,30,strong_monsoon_start,Strong monsoon starts,Strong,128.55,1.494835282845229,0.7474176414226145,127.05516471715478,129.5,0.8753932015024024,-0.02095851413253058
1,131.7134166301558,31,strong_monsoon_start,Strong monsoon starts,Strong,130.45,1.5037438761934758,0.7518719380967379,129.5,131.95374387619347,0.8740474368344254,1.2634166301558025
1,147.79343992930413,32,strong_monsoon_start,Strong monsoon starts,Strong,147.65,1.5868448862616598,0.7934224431308299,146.06315511373833,148.35000000000002,0.788430092758503,0.14343992930412242
1,149.28271221143282,33,strong_monsoon_start,Strong monsoon starts,Strong,149.05,1.5938077036944844,0.7969038518472422,148.35000000000002,150.4,0.7650092493841509,0.23271221143281196
1,153.18247360120094,34,strong_monsoon_start,Strong monsoon starts,Strong,151.75,1.6073223844873759,0.8036611922436879,150.4,153.3573223844874,0.9307529527834058,1.4324736012009396
1,155.99302642376742,35,strong_monsoon_start,Strong monsoon starts,Strong,157.05,1.6341853779517461,0.8170926889758731,155.41581462204826,157.60000000000002,0.7268138355623447,-1.0569735762325934
1,158.84302541583105,36,strong_monsoon_start,Strong monsoon starts,Strong,158.15,1.639816726836468,0.819908363418234,157.60000000000002,159.325,0.6729116605252016,0.6930254158310447
1,160.42303244969304,37,strong_monsoon_start,Strong monsoon starts,Strong,160.5,1.651912439504206,0.825956219752103,159.325,162.15,0.8996975604195803,-0.07696755030696067
1,163.29382460573785,38,strong_monsoon_start,Strong monsoon starts,Strong,163.8,1.6690487185213503,0.8345243592606751,162.15,165.46904871852135,0.9532388944327014,-0.5061753942621579
