age_ka,d18o_raw,d18o_precession_band,d18o_highfreq_lt1kyr,d18o_precession_plus_highfreq,d18o_precession_band_plus_mean,d18o_highfreq_lt1kyr_plus_mean
5.7,-10.622532386319756,-0.1396464150166296,-0.20226204801927067,-9.053541812860338,-8.851279764841069,-8.91389539784371
5.8,-10.4554659618773,-0.15403388239024413,0.02552969388382699,-8.840137538330856,-8.865667232214683,-8.686103655940611
5.9,-10.575283037001444,-0.1683487010646865,-0.056124431221077756,-8.936106482110203,-8.879982050889126,-8.767757781045516
6.0,-10.408571657399145,-0.18257752658259846,0.12271504545192694,-8.77149583095511,-8.894210876407037,-8.588918304372513
6.1,-10.5365789341205,-0.19670704084823376,-0.01969213363257412,-8.928032524305246,-8.908340390672672,-8.731325483457013
6.2,-10.386263746825016,-0.21072396504328664,0.09204112754849604,-8.83031618731923,-8.922357314867725,-8.619592222275942
6.3,-10.493912313219377,-0.22461507254817778,-0.07286170212639873,-9.009110124499015,-8.936248422372616,-8.784495051950838
6.4,-10.40589315833053,-0.23836720185572638,-0.05144576822153057,-9.001446319901696,-8.950000551680166,-8.763079118045969
6.5,-10.512134318746359,-0.2519672694641116,-0.2204618850194906,-9.184062504308041,-8.96360061928855,-8.93209523484393
6.6,-10.081299049162364,-0.2654022827360153,0.1667994277314674,-8.810236204828987,-8.977035632560455,-8.544833922092971
6.7,-10.044408026118244,-0.27865935271084086,0.19332202748094546,-8.796970675054334,-8.99029270253528,-8.518311322343493
6.8,-10.363513523818598,-0.29172570685691884,-0.09457450928717183,-9.09793356596853,-9.003359056681358,-8.80620785911161
6.9,-10.40864370993494,-0.30458870175064096,-0.06723088971767052,-9.08345294129275,-9.01622205157508,-8.77886423954211
7.0,-10.32646365622288,-0.3172358356695083,0.1191247479505851,-8.909744437543361,-9.028869185493948,-8.592508601873854
7.1,-10.612937277433637,-0.3296547610861368,-0.048327917548519075,-9.089616028459094,-9.041288110910575,-8.759961267372958
7.2,-10.657001885267977,-0.34183329705033555,0.02106391951674601,-9.032402727358027,-9.053466646874774,-8.690569430307693
7.3,-10.824550917197833,-0.35375944144646015,-0.05801724312080894,-9.123410034391707,-9.065392791270899,-8.769650592945247
7.4,-10.90919093921615,-0.36542138311333966,-0.09338061885914392,-9.170435351796922,-9.077054732937778,-8.805013968683582
7.5,-10.791376048171987,-0.3768075138141919,0.028407153816524297,-9.060033709822106,-9.088440863638631,-8.683226196007915
7.6,-10.585047373380824,-0.3879064400440672,0.1963141018289243,-8.903225688039582,-9.099539789868507,-8.515319247995514
7.7,-10.762140353073745,-0.39870699466249926,-0.05046203993022443,-9.160802384417162,-9.110340344486938,-8.762095389754663
7.8,-10.815788114018611,-0.40919824833919705,-0.18764775589784455,-9.30847935406148,-9.120831598163635,-8.899281105722283
7.9,-10.569125538459456,-0.41936952080077594,-0.01763684366818271,-9.148639714293397,-9.131002870625215,-8.72927019349262
8.0,-10.614321272067086,-0.429210391866707,-0.11277513226332195,-9.253618873954467,-9.140843741691146,-8.82440848208776
8.1,-10.116083384237484,-0.438710712262853,0.3757487207916305,-8.774595341295662,-9.150344062087292,-8.335884629032808
8.2,-10.479063093747456,-0.4478606142011667,0.04558238397177784,-9.113911580053827,-9.159493964025605,-8.66605096585266
8.3,-10.618556862745079,-0.4566505217143404,-0.029469325144249957,-9.19775319668303,-9.16828387153878,-8.741102674968689
8.4,-10.896274317805451,-0.4650711607344271,-0.23270985909667807,-9.409414369655543,-9.176704510558865,-8.944343208921117
8.5,-10.647412950177271,-0.4731135689046918,0.07467460626465847,-9.110072312464473,-9.18474691872913,-8.63695874355978
8.6,-10.566736704609069,-0.48076910511420495,0.17529398908224814,-9.017108465856396,-9.192402454938644,-8.53633936074219
8.7,-10.778353797350258,-0.4880294587449535,-0.06740978226684767,-9.26707259083624,-9.199662808569393,-8.779043132091287
8.8,-10.960538533308451,-0.49488665862151837,-0.3298259637393418,-9.536345972185298,-9.206520008445956,-9.04145931356378
8.9,-10.505812570300298,-0.5013330816536531,0.011857183832061635,-9.20110924764603,-9.212966431478092,-8.699776165992377
9.0,-10.67701066026679,-0.5073614611623951,-0.279306795028556,-9.49830160601539,-9.218994810986834,-8.990940144852996
9.1,-9.61,-0.512964894880646,0.6871833916159044,-8.53741485308918,-9.224598244705085,-8.024449958208534
9.2,-9.796956522276389,-0.5181368526194724,0.43640404583162135,-8.79336615661229,-9.22977020244391,-8.275229303992818
9.3,-10.675995422150974,-0.5228711835917077,-0.4666632975253827,-9.701167830941529,-9.234504533416146,-9.178296647349821
9.4,-10.40377574396394,-0.5271621233847648,-0.1874121830063043,-9.426207656215508,-9.238795473209203,-8.899045532830742
9.5,-10.618169336197495,-0.5310043005749163,-0.37670333450554927,-9.619340984904904,-9.242637650399356,-9.088336684329988
9.6,-9.889999999999999,-0.5343927429756506,0.38476490824808746,-8.861261184552001,-9.24602609280009,-8.326868441576352
9.7,-10.290344827586207,-0.5373228835130703,0.02199199421900966,-9.2269642391185,-9.248956233337509,-8.68964135560543
9.8,-10.48,-0.5397905657216674,-0.12582376481516053,-9.377247680361267,-9.251423915546106,-8.8374571146396
9.9,-10.225517241379311,-0.5417920488541872,0.17447126601342955,-9.078954132665196,-9.253425398678626,-8.537162083811008
10.0,-10.225119055116203,-0.5433240125996717,0.22080571134903892,-9.03415165107507,-9.254957362424111,-8.4908276384754
10.1,-10.649428565013602,-0.5443835614041631,-0.1652976609289195,-9.421314572157522,-9.256016911228603,-8.876931010753358
10.2,-10.757880949812359,-0.5449682283889441,-0.25268381060246564,-9.509285388815849,-9.256601578213383,-8.964317160426905
10.3,-10.493214304685376,-0.5450759788615895,0.008615339831091265,-9.248093988854936,-9.256709328686028,-8.703018009993347
10.4,-10.347728201401358,-0.5447052134155115,0.12357663749853318,-9.132761925741416,-9.25633856323995,-8.588056712325905
10.5,-10.369127802910524,-0.5438547706140914,0.04615523253820305,-9.209332887900327,-9.25548812043853,-8.665478117286236
10.6,-10.560294113846794,-0.5425239292559053,-0.22282254429259407,-9.476979823372938,-9.254157279080344,-8.934455894117033
10.7,-9.813590425672244,-0.5407124102179706,0.42720200897430727,-8.825143751068103,-9.25234576004241,-8.284431340850132
10.8,-10.479716035722838,-0.5384203778743628,-0.354051965381727,-9.604105693080529,-9.250053727698802,-9.065685315206165
10.9,-9.507991631799158,-0.535648441087981,0.48235206120130547,-8.764929729711115,-9.24728179091242,-8.229281288623133
11.0,-10.227154811715476,-0.5323976537736625,-0.3938395460064039,-9.637870549604505,-9.244031003598101,-9.105472895830843
11.1,-9.984184100418414,-0.5286695150312857,-0.32770773082903004,-9.568010595684754,-9.240302864855725,-9.039341080653468
11.2,-9.087991631799163,-0.5244659688479265,0.37899926167570536,-8.85710005699666,-9.236099318672366,-8.332634088148733
11.3,-9.35606694560667,-0.5197894033685725,-0.0798812080800071,-9.311303961273019,-9.23142275319301,-8.791514557904446
11.4,-9.008535134482832,-0.5146426497353284,0.08726841789589224,-9.139007581663876,-9.226275999559768,-8.624364931928547
11.5,-9.02,-0.5090289804954885,-0.08630069837582621,-9.306963028695753,-9.220662330319927,-8.797934048200265
11.6,-8.596999999999957,-0.50295210757928,0.1943007810667533,-9.020284676336965,-9.214585457403718,-8.517332568757686
11.7,-8.590954545454561,-0.49641617984851866,0.0732190048825459,-9.134830524790411,-9.208049529672957,-8.638414344941893
11.8,-8.62649999999999,-0.48942578021785343,-0.08075431097795499,-9.281813441020248,-9.201059130042292,-8.792387660802394
11.9,-8.739447761194024,-0.4819859223507055,-0.3066027099577425,-9.500221982132887,-9.193619272175145,-9.018236059782181
12.0,-8.259046153846151,-0.47410204693243874,0.0713624374084687,-9.114372959348408,-9.185735396756877,-8.64027091241597
12.1,-8.358818181818181,-0.4657800175237281,-0.10628932460641026,-9.283702691954577,-9.177413367348167,-8.817922674430848
12.2,-8.195454545454556,-0.4570261159975138,0.023127603917910203,-9.145531861904042,-9.168659465821953,-8.688505745906529
12.3,-7.9245945945945895,-0.4478470375633553,0.321189485831004,-8.83829090155679,-9.159480387387793,-8.390443863993434
12.4,-8.292081632653078,-0.43824988538341514,0.04946661197025534,-9.1004166232376,-9.149883235207854,-8.662166737854184
12.5,-8.616134615384617,-0.42824216478471655,-0.11685819961937632,-9.256733714228531,-9.139875514609155,-8.828491549443815
12.6,-8.683317073170729,-0.41783177707273117,0.016204111759755932,-9.113261015137414,-9.12946512689717,-8.695429238064683
12.7,-8.745323529411731,-0.40702701295175503,0.17054648319815985,-8.948113879578035,-9.118660362776193,-8.541086866626278
12.8,-9.558176470588245,-0.3958365455579334,-0.4352838559266474,-9.54275375130902,-9.107469895382373,-9.146917205751086
12.9,-9.463130434782599,-0.3842694231111876,-0.16034518906416684,-9.256247961999794,-9.095902772935627,-8.871978538888605
13.0,-9.106,-0.3723350611926853,0.3419678349343353,-8.74200057608279,-9.083968411017125,-8.369665514890103
13.1,-9.756666666666653,-0.36004323465487864,-0.1977845413258686,-9.269461125805186,-9.071676584479317,-8.909417891150307
13.2,-9.07120000000003,-0.34740406917150807,0.5677433065824206,-8.491294112413525,-9.059037418995947,-8.143890043242019
13.3,-9.842444444444453,-0.3344280324353376,-0.15225548644710124,-9.198316868706877,-9.046061382259776,-8.86388883627154
