event_type,event_label,event_short_label,event_index,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sample_mean_age_ka,sample_std_age_ka,sample_q025_age_ka,sample_q500_age_ka,sample_q975_age_ka,mean_minus_published_ka,std_over_requested_sigma
strong_monsoon_start,Strong monsoon starts,Strong,51,241.65,2.1291334523767897,1.0645667261883949,239.52086654762323,243.77913345237678,0.9544997361036403,241.62527134829114,0.9157634298720657,239.914985145557,241.62171850594729,243.43278073117546,-0.02472865170886962,0.8602217290323277
strong_monsoon_start,Strong monsoon starts,Strong,52,248.25,2.173535986415324,1.086767993207662,246.07646401358468,249.7,0.8861858549931005,248.06458867848818,0.8223456155893376,246.40160047644872,248.05214819045077,249.50124819668466,-0.18541132151182182,0.7566892112475032
strong_monsoon_start,Strong monsoon starts,Strong,53,251.15,2.193337899555148,1.096668949777574,249.7,253.34333789955517,0.884196706752751,251.24145570786436,0.8649718130210979,249.85720100112678,251.21902640503274,253.01453874228196,0.09145570786435542,0.7887264549584734
strong_monsoon_start,Strong monsoon starts,Strong,54,258.75,2.246092667862323,1.1230463339311616,256.50390733213766,260.99609266786234,0.9544997361036434,258.6736020830039,0.9842275311119145,256.83831837734147,258.57839646393336,260.6184096984951,-0.07639791699608622,0.8763908499364229
strong_monsoon_start,Strong monsoon starts,Strong,55,264.0,2.2832749056461275,1.1416374528230637,261.7167250943539,266.2832749056461,0.9544997361036414,263.98386563133994,1.0193846507828623,262.0198311462249,264.023568530935,265.8331760338431,-0.016134368660061682,0.8929145135017319
strong_monsoon_start,Strong monsoon starts,Strong,56,272.85,2.347351604366262,1.173675802183131,270.50264839563374,275.1973516043663,0.9544997361036434,272.7787451090231,0.9834614946013428,270.92951019357497,272.8022832123048,274.81210419892506,-0.07125489097694526,0.8379328369657324
strong_monsoon_start,Strong monsoon starts,Strong,57,293.9,2.5070790985301317,1.2535395492650658,291.39292090146984,296.4070790985301,0.9544997361036425,293.861909861525,1.0766590010506638,291.9335575834052,293.86898086718696,295.87189287908456,-0.03809013847495635,0.8588951195691393
strong_monsoon_start,Strong monsoon starts,Strong,58,315.45,2.681860411160562,1.340930205580281,312.7681395888394,315.9,0.6086590567370295,314.6973561423058,0.7642140211919493,313.09454152936854,314.7477054672032,315.8282140847267,-0.7526438576941814,0.5699133467287654
strong_monsoon_start,Strong monsoon starts,Strong,59,316.35,2.6894193684185512,1.3447096842092756,315.9,319.0394193684186,0.6083033161017523,317.06489759573077,0.7620858835236453,315.953572868902,316.96275015681175,318.74542185563087,0.7148975957307471,0.566728932254081
strong_monsoon_start,Strong monsoon starts,Strong,60,332.45,2.8282977838193006,1.4141488919096503,329.62170221618067,333.25,0.6914548399626202,331.89384959811844,0.8843940282862318,329.9065842963519,332.0156388350218,333.1703577200843,-0.5561504018815526,0.6253896130356941
strong_monsoon_start,Strong monsoon starts,Strong,61,334.05,2.8424852029959453,1.4212426014979727,333.25,335.70000000000005,0.5904144121642969,334.39342205921645,0.6619939902518651,333.3272174146135,334.35595943269993,335.6299261979762,0.34342205921643654,0.4657853554024706
strong_monsoon_start,Strong monsoon starts,Strong,62,337.35,2.8719719193300244,1.4359859596650122,335.70000000000005,340.22197191933003,0.8519793625192855,337.6444778443012,1.082305562668294,335.931271106924,337.56778263244814,339.86045152286573,0.2944778443011842,0.753702050764323
strong_monsoon_start,Strong monsoon starts,Strong,63,351.45,3.0014457948044644,1.5007228974022322,348.44855420519553,354.45144579480444,0.9544997361036409,351.41443515643886,1.3573677288906245,348.84102992859994,351.4646675196781,353.916111651334,-0.035564843561132875,0.9044759237299856
strong_monsoon_start,Strong monsoon starts,Strong,64,365.65,3.137736976150992,1.568868488075496,362.51226302384896,366.875,0.7597949536051338,365.17512229798166,1.0075792597107158,363.1489583614325,365.26053989446257,366.7510816290676,-0.47487770201831836,0.6422330917913305
strong_monsoon_start,Strong monsoon starts,Strong,65,368.1,3.161870401082037,1.5809352005410184,366.875,369.425,0.5798041225794117,368.1345907298041,0.7247100700657798,366.9161043442891,368.13942074039784,369.3332616430171,0.034590729804051534,0.458405929488934
strong_monsoon_start,Strong monsoon starts,Strong,66,370.75,3.188182898148261,1.5940914490741305,369.425,373.35,0.7456253901820709,371.15070561065886,1.0004128309371239,369.52880136396675,371.09684069525105,373.04995966307473,0.4007056106588607,0.6275755581765255
strong_monsoon_start,Strong monsoon starts,Strong,67,375.95,3.2404530201695816,1.6202265100847908,373.35,376.7,0.62400295457186,375.29468943379663,0.8730039810237906,373.62690568579586,375.350221522938,376.588674062151,-0.6553105662033545,0.5388160084963083
strong_monsoon_start,Strong monsoon starts,Strong,68,377.45,3.255689599150716,1.627844799575358,376.7,380.70568959915073,0.654754379327813,378.17014698717895,1.0107843674774413,376.7658242448897,378.0172130691675,380.3786454323478,0.7201469871789641,0.6209341134616249
strong_monsoon_start,Strong monsoon starts,Strong,69,390.8,3.3944907535140523,1.6972453767570261,387.40550924648596,392.20000000000005,0.7725260316568885,390.3148194857001,1.115443306141535,387.8803955645258,390.393692627899,392.041104885566,-0.4851805142998842,0.657208039224619
strong_monsoon_start,Strong monsoon starts,Strong,70,393.6,3.4243450302434435,1.7121725151217217,392.20000000000005,397.02434503024347,0.7704783630998869,394.1481776453663,1.2065052652766257,392.29323051619883,394.06578756001863,396.61926364779765,0.5481776453662519,0.7046633762783261
strong_monsoon_start,Strong monsoon starts,Strong,71,412.25,3.6300070194873943,1.8150035097436972,408.6199929805126,415.8800070194874,0.9544997361036407,412.06943034282153,1.5998132596753531,409.14075275227174,412.10769227076764,415.09374165023786,-0.1805696571784665,0.8814381080184623
strong_monsoon_start,Strong monsoon starts,Strong,72,426.05,3.7900968274572677,1.8950484137286339,422.25990317254275,429.8400968274573,0.9544997361036414,426.1275196639856,1.7206422537287382,422.74254379704024,426.1410823762701,429.45206650892084,0.07751966398558352,0.9079674383322272
strong_monsoon_start,Strong monsoon starts,Strong,73,447.4,4.051794035846466,2.025897017923233,443.3482059641535,448.42499999999995,0.6708035429480448,446.47558062057783,1.2642734189224643,443.75264940330794,446.6898471531415,448.3575151779257,-0.9244193794221474,0.6240561132857994
strong_monsoon_start,Strong monsoon starts,Strong,74,449.45,4.077853500673136,2.038926750336568,448.42499999999995,453.52785350067313,0.6696676988875719,450.4305908936697,1.3026353301647047,448.5162327604356,450.34789900564783,453.0518927316085,0.9805908936697278,0.6388828485131588
strong_monsoon_start,Strong monsoon starts,Strong,75,458.9,4.200164815679179,2.1000824078395897,454.6998351843208,461.025,0.821448578084663,458.3690499831765,1.4745530778010658,455.35283642144594,458.4524800329924,460.8197220031152,-0.5309500168234536,0.7021405790061246
strong_monsoon_start,Strong monsoon starts,Strong,76,463.15,4.2563619340238965,2.1281809670119483,461.025,464.54999999999995,0.5856619431588093,462.80149769660585,0.9944145006805603,461.1336220741281,462.85660267521064,464.4711731127427,-0.34850230339412747,0.46726031108001037
strong_monsoon_start,Strong monsoon starts,Strong,77,465.95,4.293796321604376,2.146898160802188,464.54999999999995,469.35,0.6861995639712866,466.5863352775196,1.244276462363015,464.6540563547001,466.43778058816156,469.0552818642148,0.6363352775196063,0.5795693922892416
strong_monsoon_start,Strong monsoon starts,Strong,78,472.75,4.3860848208556185,2.1930424104278092,469.35,477.1360848208556,0.9167220151192625,472.97772570432534,1.8233672342817486,469.7436965000522,472.8695845180077,476.5069885004937,0.22772570432533712,0.8314327281641827
strong_monsoon_start,Strong monsoon starts,Strong,79,483.65,4.538173851300738,2.269086925650369,479.11182614869927,488.1881738513007,0.9544997361036405,483.782939326615,2.025038669964278,479.7201883241849,483.7228566345416,487.51487143788114,0.1329393266150305,0.8924464933770039
strong_monsoon_start,Strong monsoon starts,Strong,80,504.15,4.838644475763907,2.4193222378819534,499.3113555242361,508.98864447576386,0.9544997361036407,504.1457684486646,2.1987530495643797,500.05462666341356,504.1059465833032,508.1594686386149,-0.004231551335351469,0.9088301736478578
strong_monsoon_start,Strong monsoon starts,Strong,81,531.75,5.2748407550123995,2.6374203775061997,526.4751592449876,537.0248407550124,0.9544997361036418,531.5674122612726,2.302869177791265,527.2385589296931,531.5563525215869,535.8298484714991,-0.1825877387274204,0.8731521138730004
strong_monsoon_start,Strong monsoon starts,Strong,82,548.25,5.554170630920899,2.7770853154604493,542.6958293690791,550.9,0.8072682455325234,547.6204529485761,1.8864950886541716,543.5818400840641,547.7690180649115,550.7032115694872,-0.6295470514238559,0.6793075740783948
strong_monsoon_start,Strong monsoon starts,Strong,83,553.55,5.64699674783862,2.82349837391931,550.9,554.5999999999999,0.4710281544601739,552.917632761673,1.0583502759521846,551.0669230255025,553.0209031122129,554.5184680009266,-0.6323672383269923,0.3748365098163963
