realization_id,catalogue_kind,event_type,event_label,n_events,lohmann_event_count_ES,lohmann_poisson_ES_p_value,lohmann_fixed_n_ES_p_value,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
12,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0097312434934795,0.07578484303139373,0.046990601879624075,96,0,28.406315119883512,0.21780614598907452,4.554193654138948,0.010201524549039888,3175,95,14.781849702158524,0.0006168252181589323,-10.765418421187633,0.11224053294984265,28.756413526091364,8.760519061753254e-06,-20.72861741798863,True,-408.59476214704364,-415.9856869981229,-422.9729689100893,-428.372671873994,5.673843281313149,3.3086665523787375
12,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.138105253370867,0.03679264147170566,0.020795840831833633,100,0,226.68697033285076,0.1753289244748526,3.0740231757508565,0.045849451525697485,3175,98,8.581863757359542,0.013692159918488468,-4.565432476388651,0.06316843002207825,29.77272395146531,5.4445199335016005e-06,-21.744927843362575,True,-419.9993109004898,-424.29024277916955,-434.88567287622243,-438.8533524003086,236.72503631423686,2.4152738685125748
13,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9768900230344555,0.09798040391921616,0.0635872825434913,96,0,20.574605271967886,0.23027337881854762,5.090479583280992,0.005901316646981523,3175,95,17.22803254414646,0.00018154331690998322,-13.211601263175567,0.13081472166165142,29.733266970352133,5.546102640168833e-06,-21.7054708622494,True,-408.6253275353305,-417.2393438074037,-423.49196102050655,-428.37267187399664,359.9048514946868,3.664912032508311
13,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.2026268452347066,0.022195560887822437,0.009598080383923215,100,0,219.17903127169896,0.2177104116620085,4.739782334604121,0.008454666967246147,3175,98,11.167605970025306,0.0037582457548473477,-7.151174689054415,0.08220127424264026,33.24377386953711,1.0647769370866132e-06,-25.215977761434374,True,-417.7444996225066,-423.3283026075193,-434.3663865572752,-438.85335240030855,228.9161953691926,2.7514808627670866
14,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.003544102658981,0.07878424315136973,0.049590081983603276,96,0,26.69827291001847,0.22027165336577756,4.657881722543353,0.009178219041006151,3175,95,15.528784754523258,0.00042458753028976927,-11.512353473552366,0.11791210924412024,30.31307850140695,4.226170154639964e-06,-22.285282393304215,True,-407.05663983208194,-414.82103220934357,-422.2131790827854,-428.3726718739946,3.1193662896989727,3.360535890420079
14,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1979001973087615,0.022595480903819236,0.009998000399920015,100,0,225.83341739407348,0.19185089994494867,3.6806767809686702,0.024812266260387215,3175,98,9.134170678671012,0.010388193694855385,-5.11773939770012,0.0672337894936329,32.61410348717004,1.4327172958728507e-06,-24.586307379067307,True,-416.8650434768288,-421.4321288161643,-433.17209522041384,-438.85335240030963,236.27092631529948,2.4629350831027135
15,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0013700563732746,0.08018396320735853,0.04999000199960008,96,0,13.171723821125648,0.26699908734376565,6.843697213670764,0.0009746810208777698,3175,95,22.415578960549624,1.3568094957878648e-05,-18.399147679578732,0.17020444528968384,33.68567338135506,8.643962342259723e-07,-25.657877273252325,True,-407.86595183095227,-419.0737413112271,-424.7087885216298,-429.0658190545547,355.6683130388255,4.480272313522857
15,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.188489951978974,0.023795240951809637,0.011397720455908818,100,0,224.53819769601049,0.21472838102960679,4.6108277619596,0.00964195971659505,3175,98,11.4132242243885,0.0033239145403761313,-7.3967929434176085,0.08400919382183202,32.73856742641817,1.3511150130585122e-06,-24.710771318315437,True,-419.3738615566205,-425.08047366881476,-435.7431452698296,-438.8533524003111,233.16204715271815,2.775489762028603
16,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.00209500077583,0.07958408318336332,0.04979004199160168,96,0,5.174850241292511,0.2294436892238768,5.053863026367645,0.006126352839195089,3175,95,17.90604636616081,0.0001293455331368037,-13.889615085189916,0.13596296997046337,32.09197104021132,1.83205769836811e-06,-24.064174932108585,True,-406.9698019934915,-415.9228251765719,-423.01578751359716,-428.37267187399243,348.34978235497675,3.766848138830827
16,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1727960344274093,0.026994601079784044,0.013597280543891222,100,0,224.29653187404818,0.22156638711356513,4.90916638985582,0.007113394247300848,3175,98,12.612817179267154,0.0018245742813847584,-8.596385898296262,0.09283902447024411,34.69232106448737,5.372833570010979e-07,-26.66452495638464,True,-418.03284675853524,-424.3392553481688,-435.37900729077893,-439.54649958087,231.68671641557762,2.982329543447111
17,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9949145277209157,0.08498300339932013,0.05378924215156969,96,0,18.0321518262483,0.2219002946302502,4.727015112671218,0.008553344126527916,3175,95,17.44801331719384,0.00016263426379604516,-13.431582036222949,0.13248506466357973,31.326532672876283,2.625971433941723e-06,-23.29873656477355,True,-406.8903681024269,-415.61437476102384,-422.55363443886506,-428.3726718739953,356.4371382322962,3.69380316292052
17,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1816273614463917,0.02539492101579684,0.01199760047990402,100,0,223.31334898410717,0.2276650150573771,5.183135908107574,0.005377679993707003,3175,98,14.133842901789649,0.0008528546267089324,-10.117411620818757,0.10403482175058981,35.960437846851505,2.948433625932768e-07,-27.93264173874877,True,-418.6540286842615,-425.72095013515633,-436.63424760768726,-439.5464995808704,230.48972779219733,3.161040785450824
18,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0023365905843367,0.07958408318336332,0.049590081983603276,96,0,17.615261878596417,0.20789850299206203,4.14929160444868,0.015405717068450505,3175,95,14.240478111113475,0.0008085734340458321,-10.224046830142584,0.1081298271094276,28.687944434290443,9.04544257766217e-06,-20.66014832618771,True,-408.7847305121891,-415.90496956774587,-423.12870272933435,-428.3726718739932,356.8883272457253,3.1952215011370817
18,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.172350742283761,0.026994601079784044,0.013797240551889621,100,0,219.4185854280789,0.22321121901900387,4.982324829594972,0.006601681566966187,3175,98,11.797863237297634,0.002742373154536456,-7.781431956326742,0.0868404019670179,35.18358819247749,4.258946633056672e-07,-27.155792084374752,True,-417.3068379773415,-423.2057695959903,-434.89863207358025,-438.85335240031065,226.34534180922387,2.8690681768568056
19,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0205331016427137,0.0683863227354529,0.04239152169566087,96,0,23.495218113854055,0.2009228911411877,3.8755207857152216,0.020346945231767003,3175,95,14.20393130481375,0.0008234846467594702,-10.187500023842858,0.10785232239253842,29.2092919338686,7.088213111272644e-06,-21.181495825765865,True,-408.31543532585135,-415.41740097825823,-422.92008129278565,-428.37267187399505,359.8547166633611,3.2067687106255507
19,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.193604429935776,0.02299540091981604,0.010397920415916816,100,0,223.63934517268402,0.19855594371829322,3.942446278586202,0.01902572944644582,3175,98,10.141874826744925,0.006276533675606359,-6.125443545774033,0.07465118631562,34.426971765560666,6.090755138101281e-07,-26.39917565745793,True,-418.1444920398159,-423.21542945318834,-435.3579779225962,-438.8533524003085,234.5995747716917,2.61526036841369
20,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0074835804313285,0.07618476304739052,0.04859028194361128,96,0,12.343570160746172,0.21729948510370212,4.5330303577280695,0.010423934595226511,3175,94,16.73895182398701,0.00023183702490873375,-12.722520543016117,0.12845320630928367,29.218965180369082,7.056199243119184e-06,-21.191169072266348,True,-404.1154425426784,-412.4849184546719,-418.72492513286295,-424.8582041313379,353.8709750072694,3.573817160137651
20,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1947434434691355,0.022795440911817635,0.010397920415916816,100,0,214.24047261265744,0.2261682005415021,5.115205493618111,0.005764114845038634,3175,98,10.63872763336201,0.004895867403873613,-6.622296352391118,0.07830836529601913,28.991884681525903,7.847118720065892e-06,-20.96408857342317,True,-419.1745607144728,-424.4939245311538,-433.67050305523577,-438.8533524003075,222.25145943787837,2.687145856481044
21,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9830790166624706,0.09338132373525294,0.060587882423515295,96,0,19.086914798966436,0.2337831240146472,5.2468367111086,0.005029320805319894,3175,94,18.467991699694153,9.766221197362652e-05,-14.451560418723261,0.14172170234216647,30.600770992964954,3.6925372341850157e-06,-22.57297488486222,True,-403.61370779807396,-412.84770364792104,-418.91409329455644,-424.85820413133706,1.1156759607747793,3.8056552566197213
