driver,driver_label,age_ka,value,source,extremum_type,half_cycle_index,anchor_phase_unwrapped_rad,anchor_phase_rad,anchor_phase_deg
pre,Precession index,556.3,-0.02677,data/raw/pre_1000_60_inter100.txt,minimum,57,182.21237390820798,6.283185307179565,359.99999999999875
pre,Precession index,567.2,0.035297,data/raw/pre_1000_60_inter100.txt,maximum,58,185.3539665617978,3.1415926535897896,179.9999999999998
pre,Precession index,578.3,-0.042197,data/raw/pre_1000_60_inter100.txt,minimum,59,188.49555921538757,6.283185307179572,359.9999999999992
pre,Precession index,589.2,0.046459,data/raw/pre_1000_60_inter100.txt,maximum,60,191.63715186897736,3.1415926535897682,179.99999999999858
pre,Precession index,599.7,-0.047013,data/raw/pre_1000_60_inter100.txt,minimum,61,194.77874452256717,6.283185307179579,359.9999999999996
pre,Precession index,610.3,0.043089,data/raw/pre_1000_60_inter100.txt,maximum,62,197.92033717615695,3.1415926535897754,179.99999999999898
pre,Precession index,621.0,-0.034169,data/raw/pre_1000_60_inter100.txt,minimum,63,201.06192982974676,0.0,0.0
pre,Precession index,632.2,0.021637,data/raw/pre_1000_60_inter100.txt,maximum,64,204.20352248333654,3.1415926535897825,179.99999999999937
pre,Precession index,648.1,-0.014405,data/raw/pre_1000_60_inter100.txt,minimum,65,207.34511513692632,6.283185307179565,359.99999999999875
pre,Precession index,660.6,0.024882,data/raw/pre_1000_60_inter100.txt,maximum,66,210.48670779051614,3.1415926535897896,179.9999999999998
pre,Precession index,671.5,-0.033186,data/raw/pre_1000_60_inter100.txt,minimum,67,213.62830044410592,6.283185307179572,359.9999999999992
pre,Precession index,682.1,0.037823,data/raw/pre_1000_60_inter100.txt,maximum,68,216.76989309769573,3.1415926535897967,180.0000000000002
pre,Precession index,692.7,-0.03897,data/raw/pre_1000_60_inter100.txt,minimum,69,219.9114857512855,6.283185307179579,359.9999999999996
pre,Precession index,703.5,0.037243,data/raw/pre_1000_60_inter100.txt,maximum,70,223.0530784048753,3.1415926535897754,179.99999999999898
pre,Precession index,714.0,-0.032548,data/raw/pre_1000_60_inter100.txt,minimum,71,226.1946710584651,0.0,0.0
pre,Precession index,724.0,0.025719,data/raw/pre_1000_60_inter100.txt,maximum,72,229.3362637120549,3.1415926535897825,179.99999999999937
pre,Precession index,733.7,-0.01688,data/raw/pre_1000_60_inter100.txt,minimum,73,232.47785636564467,6.283185307179565,359.99999999999875
pre,Precession index,742.7,0.008961,data/raw/pre_1000_60_inter100.txt,maximum,74,235.61944901923448,3.1415926535897896,179.9999999999998
pre,Precession index,750.7,-0.00704,data/raw/pre_1000_60_inter100.txt,minimum,75,238.76104167282426,6.283185307179572,359.9999999999992
pre,Precession index,758.9,0.011826,data/raw/pre_1000_60_inter100.txt,maximum,76,241.90263432641405,3.1415926535897682,179.99999999999858
pre,Precession index,768.1,-0.017321,data/raw/pre_1000_60_inter100.txt,minimum,77,245.04422698000386,6.283185307179579,359.9999999999996
pre,Precession index,777.7,0.02026,data/raw/pre_1000_60_inter100.txt,maximum,78,248.18581963359364,3.1415926535897754,179.99999999999898
pre,Precession index,787.6,-0.0199,data/raw/pre_1000_60_inter100.txt,minimum,79,251.32741228718345,0.0,0.0
pre,Precession index,797.4,0.016901,data/raw/pre_1000_60_inter100.txt,maximum,80,254.46900494077323,3.1415926535897825,179.99999999999937
pre,Precession index,806.7,-0.013388,data/raw/pre_1000_60_inter100.txt,minimum,81,257.610597594363,6.283185307179565,359.99999999999875
pre,Precession index,815.7,0.011854,data/raw/pre_1000_60_inter100.txt,maximum,82,260.7521902479528,3.141592653589761,179.99999999999818
pre,Precession index,824.8,-0.014749,data/raw/pre_1000_60_inter100.txt,minimum,83,263.89378290154264,1.4210854715202004e-14,8.142219984546603e-13
pre,Precession index,834.3,0.021052,data/raw/pre_1000_60_inter100.txt,maximum,84,267.0353755551324,3.1415926535897967,180.0000000000002
pre,Precession index,844.2,-0.028689,data/raw/pre_1000_60_inter100.txt,minimum,85,270.1769682087222,6.283185307179579,359.9999999999996
pre,Precession index,854.3,0.035195,data/raw/pre_1000_60_inter100.txt,maximum,86,273.318560862312,3.1415926535897754,179.99999999999898
pre,Precession index,864.5,-0.038968,data/raw/pre_1000_60_inter100.txt,minimum,87,276.46015351590177,6.283185307179558,359.99999999999835
pre,Precession index,874.9,0.037972,data/raw/pre_1000_60_inter100.txt,maximum,88,279.60174616949155,3.141592653589754,179.99999999999775
pre,Precession index,885.2,-0.031812,data/raw/pre_1000_60_inter100.txt,minimum,89,282.7433388230814,7.105427357601002e-15,4.0711099922733015e-13
pre,Precession index,895.5,0.021003,data/raw/pre_1000_60_inter100.txt,maximum,90,285.88493147667117,3.1415926535897896,179.9999999999998
pre,Precession index,914.3,-0.010423,data/raw/pre_1000_60_inter100.txt,minimum,91,289.02652413026095,6.283185307179572,359.9999999999992
pre,Precession index,925.8,0.024652,data/raw/pre_1000_60_inter100.txt,maximum,92,292.16811678385073,3.1415926535897682,179.99999999999858
pre,Precession index,936.5,-0.037028,data/raw/pre_1000_60_inter100.txt,minimum,93,295.3097094374405,6.283185307179551,359.99999999999795
pre,Precession index,947.3,0.047274,data/raw/pre_1000_60_inter100.txt,maximum,94,298.45130209103036,3.1415926535898038,180.0000000000006
pre,Precession index,958.1,-0.054576,data/raw/pre_1000_60_inter100.txt,minimum,95,301.59289474462014,0.0,0.0
pre,Precession index,968.8,0.057786,data/raw/pre_1000_60_inter100.txt,maximum,96,304.7344873982099,3.1415926535897825,179.99999999999937
pre,Precession index,979.2,-0.055864,data/raw/pre_1000_60_inter100.txt,minimum,97,307.8760800517997,6.283185307179565,359.99999999999875
pre,Precession index,989.8,0.048036,data/raw/pre_1000_60_inter100.txt,maximum,98,311.0176727053895,3.141592653589761,179.99999999999818
obl,Obliquity,-51.2,0.39284,data/raw/obl_1000_60_inter100.txt,minimum,0,0.0,0.0,0.0
obl,Obliquity,-30.8,0.418281,data/raw/obl_1000_60_inter100.txt,maximum,1,3.141592653589793,3.141592653589793,180.0
obl,Obliquity,-10.2,0.394577,data/raw/obl_1000_60_inter100.txt,minimum,2,6.283185307179586,0.0,0.0
obl,Obliquity,9.5,0.422962,data/raw/obl_1000_60_inter100.txt,maximum,3,9.42477796076938,3.141592653589793,180.0
obl,Obliquity,28.8,0.387573,data/raw/obl_1000_60_inter100.txt,minimum,4,12.566370614359172,0.0,0.0
obl,Obliquity,48.5,0.426507,data/raw/obl_1000_60_inter100.txt,maximum,5,15.707963267948966,3.141592653589793,180.0
obl,Obliquity,69.8,0.389925,data/raw/obl_1000_60_inter100.txt,minimum,6,18.84955592153876,0.0,0.0
obl,Obliquity,92.0,0.423616,data/raw/obl_1000_60_inter100.txt,maximum,7,21.991148575128552,3.141592653589793,180.0
obl,Obliquity,112.1,0.389722,data/raw/obl_1000_60_inter100.txt,minimum,8,25.132741228718345,0.0,0.0
obl,Obliquity,130.8,0.423693,data/raw/obl_1000_60_inter100.txt,maximum,9,28.274333882308138,3.141592653589793,180.0
obl,Obliquity,149.4,0.391585,data/raw/obl_1000_60_inter100.txt,minimum,10,31.41592653589793,0.0,0.0
obl,Obliquity,169.1,0.421015,data/raw/obl_1000_60_inter100.txt,maximum,11,34.55751918948772,3.1415926535897896,179.9999999999998
