dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,beta_AT_scaled,beta_obl_scaled,beta_ecc_scaled,beta_insol65N_scaled,delta_AICc,rank_AICc
strong_monsoon_start,Strong monsoon starts,adjusted_climate,Climate-state model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,95,5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-413.2022051300916,836.4044102601832,836.4233436776651,866.7197248168172,94.99999192658598,0.9804784200085662,0.14960628649856056,-1.9125667769007146,-0.19264215991037165,-2.6812572059048816,1.2205319038823337,-0.532516356836607,,,,,,,,,,,15.733969081367036,11.0
strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,Event-process baseline,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,95,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.0686930464143,846.1373860928286,846.1449546831786,864.326574826809,94.99999809900181,0.5016389296695686,0.14960629621890048,-1.9426734714829952,-0.06333459753612819,-2.255140867203926,,,,,,,,,,,,,25.45558008688056,12.0
strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3175,95,1,True,analytic stationary MLE,-428.3726718739949,858.7453437479898,858.7466043846113,864.8084066593166,95.0,0.14960629921259844,0.14960629921259844,-1.8997481072921507,,,,,,,,,,,,,,,38.05722978831318,13.0
weak_monsoon_start,Weak monsoon starts,base_plus_insol65N,Extended baseline + 65$^{\circ}$N insolation,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+insol65N_scaled,0.2,3175,98,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-413.42428495244576,842.8485699048915,842.8940531645251,891.3530731955059,98.00006208782267,1.0367903523911752,0.15433080643751598,-1.8939787172896554,-0.30222184592489176,-2.5053171806467134,0.06225158251929259,-2.742026659702338,-0.4556704539594017,-0.09434174359757107,0.4653342102151926,4.508234007110164,258.30278166476353,2.536203861650792,,,,-1.4060343616702244,0.0,1.0
weak_monsoon_start,Weak monsoon starts,base_adjusted_climate_phase,"Extended baseline
(full predictive model)",same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,98,7,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-414.57401845675815,843.1480369135163,843.1834016119691,885.5894772928038,97.9999969260057,1.1057328169693,0.1543307038204814,-1.904341961794322,-0.26957853033994494,-2.3783069660668397,0.39069803077916454,-2.420525102318465,-0.4656919904154919,-0.35371867279053737,0.5847956304708867,4.062800675002515,232.78133168054615,3.2206759534004656,,,,,0.2893484474440129,2.0
weak_monsoon_start,Weak monsoon starts,base_plus_obl,Extended baseline + obliquity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled,0.2,3175,98,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.40034965200954,844.8006993040191,844.8461825636526,893.3052025946334,97.99996404275616,1.026365440850332,0.15433065203583643,-1.8992000358940946,-0.27983015829829044,-2.4074260259093654,0.2598640978636857,-2.5303184324497314,-0.4589864719157775,-0.3683637578052364,0.5885239497812198,4.036089574022687,231.2508983282542,3.244781130205255,,-0.22850405646829872,,,1.952129399127557,3.0
weak_monsoon_start,Weak monsoon starts,base_plus_ecc,Extended baseline + eccentricity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+ecc_scaled,0.2,3175,98,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.4936624312038,844.9873248624076,845.0328081220412,893.491828153022,97.99995401562597,1.0657169153278017,0.15433063624508023,-1.9028199115276374,-0.2720498105532229,-2.383426334205799,0.5034324460705994,-2.3870753088470815,-0.4718431693304487,-0.35435921115303676,0.5900901854571087,4.068241415574798,233.09306315276353,3.254961250281397,,,0.1799250644485152,,2.1387549575160847,4.0
weak_monsoon_start,Weak monsoon starts,base_plus_AT,Extended baseline + Antarctic T,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled,0.2,3175,98,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.5624151540476,845.1248303080952,845.1703135677287,893.6293335987095,97.99994881900734,1.0896909138344837,0.15433062806142886,-1.9040471296500152,-0.2700675478002462,-2.3688825552484416,0.40764223841749925,-2.417199468596427,-0.47181095360598635,-0.35677298436880545,0.5915171496398174,4.064945768860567,232.90423650527194,3.2642639448196875,0.08240814307125015,,,,2.2762604032036506,5.0
weak_monsoon_start,Weak monsoon starts,all_without_ecc,All extra except eccentricity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+insol65N_scaled,0.2,3175,98,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.79104898752337,845.5820979750467,845.6516302127205,906.2127270883146,97.99990990898614,0.9994670906767911,0.1543305667858049,-1.9044436086772834,-0.29992611558721705,-2.5729423979587365,0.1164833998363784,-2.7252946520029426,-0.46004031712136295,0.22531576829020983,0.5122541252321271,5.167822342419444,296.09440949404507,2.7857252445961835,-0.10219932461574592,0.7269176992497658,,-2.8869388450245363,2.757577048195458,6.0
weak_monsoon_start,Weak monsoon starts,all_without_AT,All extra except Antarctic T,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3175,98,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.79907317980013,845.5981463596003,845.6676785972741,906.2287754728682,97.99974888709056,1.0199119709343438,0.15433031320801657,-1.9035708206947182,-0.299636692527478,-2.5567574584636223,0.19548578239461148,-2.691751120575445,-0.47041351521907676,0.2177571028757392,0.5183695893410452,5.145923316795427,294.8396877503401,2.8200064683318504,,0.7460331154707639,0.05723525745745495,-2.839651469907535,2.773625432748986,7.0
weak_monsoon_start,Weak monsoon starts,all_without_obl,All extra except obliquity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+ecc_scaled+insol65N_scaled,0.2,3175,98,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-413.3617746165914,846.7235492331828,846.7930814708566,907.3541783464507,97.99993886954945,1.0342270700167415,0.1543306123929912,-1.8945439394273462,-0.3024198944743661,-2.535858684954076,0.03676818160609782,-2.7565004794441816,-0.4419601147078996,-0.07277643728394875,0.4479119922667446,4.5491861323234595,260.64916560157667,2.449353187339264,-0.19882977674539196,,0.056397625614732515,-1.486524146757668,3.899028306331502,8.0
weak_monsoon_start,Weak monsoon starts,extended_all,Extended baseline + all extra forcings,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3175,98,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.78093460729286,847.5618692145857,847.6453342793976,914.2555612391805,98.00019330030506,0.9955525607276408,0.1543310130713465,-1.903680780245842,-0.2999424989906838,-2.5734535254512023,0.1612497372219626,-2.7085604505845065,-0.4614960291376541,0.2248717244773278,0.5133671954646398,5.165798293072868,295.97844000896004,2.7919335680237403,-0.11107728489327809,0.7291088760846757,0.06660109392754683,-2.8644503420064678,4.7512811148725405,9.0
weak_monsoon_start,Weak monsoon starts,all_without_insol65N,All extra except 65$^{\circ}$N insolation,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled,0.2,3175,98,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.35339156802127,848.7067831360425,848.7763153737163,909.3374122493104,97.99994772846651,1.009236742864784,0.15433062634404168,-1.8985983703812226,-0.2807373363245342,-2.414527837121186,0.3442884526333442,-2.50036084049702,-0.46035229889661494,-0.36645502742246283,0.5883991215345212,4.040072415795998,231.47909835233335,3.2439711506389832,-0.04880049814413195,-0.2175809383686128,0.1392407201796394,,5.8822622091912535,10.0
weak_monsoon_start,Weak monsoon starts,adjusted_climate,Climate-state model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,98,5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-421.87095656103094,853.7419131220619,853.7608465395438,884.0572276786959,97.99999991705884,1.0067057342904324,0.15433070853080127,-1.935661722258424,-0.13840376774082458,-2.289015740482085,0.20004303279304536,-2.283717891222556,,,,,,,,,,,10.866793375018688,11.0
