dataset_id,dataset_label,event_index,event_age_ka,analysis_start_ka,analysis_end_ka,source_event_id,cheng_event_age_ka,ch4_event_age_ka,event_label,source
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,89,582.95,0.0,640.0,89,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,90,593.9,0.0,640.0,90,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,91,604.0,0.0,640.0,91,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,92,625.65,0.0,640.0,92,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,93,627.55,0.0,640.0,93,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,94,630.1,0.0,640.0,94,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,95,633.3,0.0,640.0,95,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,96,638.1,0.0,640.0,96,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,1,3.5,0.0,640.0,1,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,2,12.779,0.0,640.0,2,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,3,17.835,0.0,640.0,3,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,4,24.59,0.0,640.0,4,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,5,26.65,0.0,640.0,5,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,6,27.555,0.0,640.0,6,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,7,28.715,0.0,640.0,7,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,8,30.42,0.0,640.0,8,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,9,31.975,0.0,640.0,9,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,10,33.42,0.0,640.0,10,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,11,34.75,0.0,640.0,11,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,12,36.75,0.0,640.0,12,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,13,39.955,0.0,640.0,13,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,14,42.475,0.0,640.0,14,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,15,44.485,0.0,640.0,15,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,16,45.73,0.0,640.0,16,,,,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
