order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,event_age_ka,event_index,event_type,event_label,ks_window_id,ks_window_label,source
30,128.55,128.55,strong_monsoon_start,0.4-4,common_same_date,128.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,63,128.55,30,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
31,130.45,130.45,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,64,130.45,31,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
32,147.65,147.65,strong_monsoon_start,0.4-4,common_same_date,147.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,71,147.65,32,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
33,149.05,149.05,strong_monsoon_start,0.4-4,common_same_date,149.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,72,149.05,33,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
34,151.75,151.75,strong_monsoon_start,0.4-4,common_same_date,151.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,74,151.75,34,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
35,157.05,157.05,strong_monsoon_start,0.4-4,common_same_date,157.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,75,157.05,35,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
36,158.15,158.15,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,76,158.15,36,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
37,160.5,160.5,strong_monsoon_start,0.4-4,common_same_date,160.5,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,78,160.5,37,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
38,163.8,163.8,strong_monsoon_start,0.4-4,common_same_date,163.8,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,80,163.8,38,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
39,168.75,168.75,strong_monsoon_start,0.4-4,common_same_date,168.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,83,168.75,39,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
40,169.55,169.55,strong_monsoon_start,0.4-4,common_same_date,169.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,84,169.55,40,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
41,173.15,173.15,strong_monsoon_start,0.4-4,common_same_date,173.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,87,173.15,41,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
42,176.25,176.25,strong_monsoon_start,0.4-4,common_same_date,176.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,89,176.25,42,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
43,177.95,177.95,strong_monsoon_start,0.4-4,common_same_date,177.95,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,90,177.95,43,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
44,182.55,182.55,strong_monsoon_start,0.4-4,common_same_date,182.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,92,182.55,44,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
45,190.65,190.65,strong_monsoon_start,0.4-4,common_same_date,190.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,94,190.65,45,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
46,192.75,192.75,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,192.65,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,96,192.75,46,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
47,198.95,198.95,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,198.85,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,98,198.95,47,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
48,219.05,219.05,strong_monsoon_start,0.4-4,common_same_date,219.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,101,219.05,48,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
49,225.2,225.2,strong_monsoon_start,0.4-4,common_same_date,225.2,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,103,225.2,49,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
50,230.75,230.75,strong_monsoon_start,0.4-4,common_same_date,230.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,105,230.75,50,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
51,241.65,241.65,strong_monsoon_start,0.4-4,common_same_date,241.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,108,241.65,51,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
52,248.25,248.25,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,248.35,-0.1,Rousseau et al. 2023 Scientific Reports Table 1,7,110,248.25,52,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
53,251.15,251.15,strong_monsoon_start,0.4-4,common_same_date,251.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,112,251.15,53,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
54,258.75,258.75,strong_monsoon_start,0.4-4,common_same_date,258.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,115,258.75,54,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
55,264.0,264.0,strong_monsoon_start,0.4-4,common_same_date,264.0,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,117,264.0,55,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
56,272.85,272.85,strong_monsoon_start,0.4-4,common_same_date,272.85,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,118,272.85,56,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
57,293.9,293.9,strong_monsoon_start,0.4-4,common_same_date,293.9,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,122,293.9,57,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
