analysis_type,dataset_id,dataset_label,curve_id,curve_label,lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,0.6,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-413.3698743794053,10.182347147526855,0.003284628112105437,0.004738716688498993,0.15302105973277996,20.36469429505371,6.399973543950304e-06,-18.35952216195585,96.00000426819236,96.0001034560623,0.9173033317422855,True,True,0.0001874317239570694
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,0.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.35246973792994,-406.23969272209615,7.112777015833785,0.0022944441986560596,0.0033101832669975495,0.10689133466346253,14.22555403166757,0.0008146296087360071,-10.2087238942986,95.99995072669614,95.99977343646626,1.025739691126947,True,True,0.009279607510901212
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,0.8,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-417.3560519058276,6.196169621104559,0.0019987643939046967,0.00288360747899174,0.09311649150910828,12.392339242209118,0.00043109884733143807,-10.38716710911126,96.00000426819236,95.99999471192109,0.7441726253548299,True,True,0.00870819671609505
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,0.8,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-413.36014881473756,10.192072712194602,0.0032877653910305168,0.00474324282524609,0.153167216231905,20.384145424389203,6.335249581818534e-06,-18.378973291291345,96.00000426819236,95.99999364705435,0.8762459355865905,True,True,0.0001874317239570694
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.2873787385019,-406.1485813460439,7.138797392458002,0.0023028378685348394,0.0033222927729065236,0.10728237079177316,14.277594784916005,0.000793706039611253,-10.260764647547035,96.00001241459375,95.99982846181331,1.0464763221727007,True,True,0.009279607510901212
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,1.0,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-417.73233466007497,5.819886866857189,0.0018773828602765125,0.002708490942370863,0.08746168668072578,11.639773733714378,0.0006455645492669684,-9.63460160061652,96.00000426819236,96.00000719177628,0.7223238155389178,True,True,0.010867003245993968
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,1.0,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-413.72500693999234,9.827214586939817,0.0031700692215934894,0.004573443145267664,0.14768410156593498,19.654429173879635,9.278798215696504e-06,-17.649257040781777,96.00000426819236,95.9999994203174,0.8136664658032178,True,True,0.0001874317239570694
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,1.0,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.619213031647,-406.5006100455165,7.118602986130497,0.0022963235439130637,0.0033128945890799465,0.10697888777237329,14.237205972260995,0.0008098973990741729,-10.220375834892025,96.00001103757134,96.0000064810609,1.0306082756369654,True,True,0.009279607510901212
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,1.2,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-418.09122607853976,5.460995448392396,0.001761611434965289,0.002541468081197713,0.08206824012200949,10.921990896784791,0.0009502942981953266,-8.916818763686933,96.00000426819236,96.00002626180245,0.6952491260904636,True,True,0.013711389159675427
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,1.2,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-414.04950173692583,9.502719790006324,0.0030653934806472013,0.004422427972903076,0.1428075699583285,19.00543958001265,1.3034633665219989e-05,-17.00026744691479,96.00000426819236,96.00007807472153,0.8355862553490093,True,True,0.00018807114288388842
