variant_id,variant_label,event_type,detected_index,published_index,detected_age_ka,published_age_ka,age_error_ka,abs_age_error_ka
raw,Raw composite,strong_monsoon_start,47,25,85.0613,85.0,0.0613000000000028,0.0613000000000028
raw,Raw composite,weak_monsoon_start,31,114,55.16625,55.23,-0.06374999999999886,0.06374999999999886
raw,Raw composite,weak_monsoon_start,62,131,142.618,142.55,0.06799999999998363,0.06799999999998363
raw,Raw composite,strong_monsoon_start,66,32,149.12,149.05,0.06999999999999318,0.06999999999999318
raw,Raw composite,strong_monsoon_start,4,3,23.75625,23.685,0.0712500000000027,0.0712500000000027
raw,Raw composite,strong_monsoon_start,188,92,627.62725,627.55,0.07725000000004911,0.07725000000004911
raw,Raw composite,strong_monsoon_start,99,49,230.6724032681964,230.75,-0.07759673180359528,0.07759673180359528
raw,Raw composite,strong_monsoon_start,21,10,41.6761,41.595,0.08109999999999928,0.08109999999999928
raw,Raw composite,strong_monsoon_start,105,52,251.23250000000002,251.15,0.08250000000001023,0.08250000000001023
raw,Raw composite,weak_monsoon_start,22,109,42.3922,42.475,-0.08279999999999887,0.08279999999999887
raw,Raw composite,weak_monsoon_start,83,142,179.735,179.65,0.08500000000000796,0.08500000000000796
raw,Raw composite,weak_monsoon_start,9,102,28.62925,28.715,-0.08575000000000088,0.08575000000000088
raw,Raw composite,strong_monsoon_start,117,58,316.44,316.35,0.08999999999997499,0.08999999999997499
raw,Raw composite,strong_monsoon_start,46,24,84.030275,84.13,-0.09972499999999229,0.09972499999999229
raw,Raw composite,weak_monsoon_start,102,152,246.858,246.75,0.10800000000000409,0.10800000000000409
raw,Raw composite,weak_monsoon_start,107,154,252.2665,252.15,0.11650000000000205,0.11650000000000205
raw,Raw composite,weak_monsoon_start,63,132,143.9715,143.85,0.1214999999999975,0.1214999999999975
raw,Raw composite,weak_monsoon_start,170,185,552.8218,552.7,0.12180000000000746,0.12180000000000746
raw,Raw composite,weak_monsoon_start,119,162,324.273,324.15,0.1230000000000473,0.1230000000000473
raw,Raw composite,weak_monsoon_start,189,192,628.8722,629.0,-0.12779999999997926,0.12779999999997926
raw,Raw composite,strong_monsoon_start,190,93,629.9672499999999,630.1,-0.13275000000010095,0.13275000000010095
raw,Raw composite,weak_monsoon_start,172,186,554.3449,554.2,0.1449000000000069,0.1449000000000069
raw,Raw composite,weak_monsoon_start,157,179,475.20481637943385,475.35,-0.14518362056617207,0.14518362056617207
raw,Raw composite,weak_monsoon_start,152,177,460.0043806544999,460.15,-0.14561934550005162,0.14561934550005162
raw,Raw composite,weak_monsoon_start,18,107,36.604,36.75,-0.1460000000000008,0.1460000000000008
raw,Raw composite,strong_monsoon_start,133,65,370.898,370.75,0.14800000000002456,0.14800000000002456
raw,Raw composite,strong_monsoon_start,86,44,190.485,190.65,-0.16499999999999204,0.16499999999999204
raw,Raw composite,strong_monsoon_start,168,81,548.0759499999999,548.25,-0.1740500000000793,0.1740500000000793
raw,Raw composite,strong_monsoon_start,88,45,192.575,192.75,-0.17500000000001137,0.17500000000001137
raw,Raw composite,strong_monsoon_start,90,46,199.13,198.95,0.18000000000000682,0.18000000000000682
raw,Raw composite,weak_monsoon_start,24,110,44.304249999999996,44.485,-0.1807500000000033,0.1807500000000033
raw,Raw composite,weak_monsoon_start,104,153,249.8535,250.05,-0.19650000000001455,0.19650000000001455
raw,Raw composite,weak_monsoon_start,70,136,162.2,162.0,0.19999999999998863,0.19999999999998863
raw,Raw composite,weak_monsoon_start,138,171,378.8515,378.65,0.20150000000001,0.20150000000001
raw,Raw composite,strong_monsoon_start,162,79,503.94836978568867,504.15,-0.201630214311308,0.201630214311308
raw,Raw composite,weak_monsoon_start,195,195,638.97825,639.2,-0.22175000000004275,0.22175000000004275
raw,Raw composite,strong_monsoon_start,30,15,54.14675,54.37,-0.22325000000000017,0.22325000000000017
raw,Raw composite,strong_monsoon_start,180,87,580.52925,580.3,0.22925000000009277,0.22925000000009277
raw,Raw composite,weak_monsoon_start,132,168,369.307,369.55,-0.242999999999995,0.242999999999995
raw,Raw composite,weak_monsoon_start,161,181,500.3443589192743,500.1,0.24435891927430475,0.24435891927430475
raw,Raw composite,weak_monsoon_start,53,125,106.10291867522108,106.35,-0.2470813247789181,0.2470813247789181
raw,Raw composite,weak_monsoon_start,149,175,453.79803214260227,453.55,0.2480321426022556,0.2480321426022556
raw,Raw composite,strong_monsoon_start,75,38,168.5,168.75,-0.25,0.25
raw,Raw composite,weak_monsoon_start,150,176,457.3499345520379,457.6,-0.25006544796212893,0.25006544796212893
raw,Raw composite,weak_monsoon_start,73,137,165.42000000000002,165.15,0.27000000000001023,0.27000000000001023
raw,Raw composite,strong_monsoon_start,181,88,583.2346,582.95,0.2845999999999549,0.2845999999999549
raw,Raw composite,weak_monsoon_start,145,173,430.43603283111156,430.15,0.2860328311115836,0.2860328311115836
raw,Raw composite,weak_monsoon_start,56,127,120.84026548640617,120.55,0.2902654864061702,0.2902654864061702
raw,Raw composite,strong_monsoon_start,139,68,391.09707467481905,390.8,0.2970746748190436,0.2970746748190436
raw,Raw composite,strong_monsoon_start,1,1,11.18636,11.514,-0.3276399999999988,0.3276399999999988
raw,Raw composite,strong_monsoon_start,148,73,449.7844123349564,449.45,0.33441233495642564,0.33441233495642564
raw,Raw composite,strong_monsoon_start,57,29,128.939,128.55,0.3889999999999816,0.3889999999999816
raw,Raw composite,strong_monsoon_start,183,89,593.47185,593.9,-0.4281499999999596,0.4281499999999596
raw,Raw composite,strong_monsoon_start,187,91,626.0952,625.65,0.4451999999999998,0.4451999999999998
raw,Raw composite,weak_monsoon_start,64,133,146.575,147.05,-0.47500000000002274,0.47500000000002274
raw,Raw composite,weak_monsoon_start,191,193,631.7891,632.3,-0.5108999999999924,0.5108999999999924
raw,Raw composite,strong_monsoon_start,101,50,242.174,241.65,0.5240000000000009,0.5240000000000009
raw,Raw composite,strong_monsoon_start,103,51,248.77550000000002,248.25,0.5255000000000223,0.5255000000000223
raw,Raw composite,strong_monsoon_start,121,60,334.69399999999996,334.05,0.6439999999999486,0.6439999999999486
raw,Raw composite,strong_monsoon_start,112,55,273.5077,272.85,0.6576999999999771,0.6576999999999771
raw,Raw composite,weak_monsoon_start,182,190,590.56005,589.8,0.760050000000092,0.760050000000092
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,18,5,29.43,29.43,0.0,0.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,61,122,98.65,98.65,0.0,0.0
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,96,138,166.8,166.8,0.0,0.0
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,41,16,55.745000000000005,55.745,7.105427357601002e-15,7.105427357601002e-15
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,171,74,458.90002063725,458.9,2.0637250031541043e-05,2.0637250031541043e-05
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,60,26,89.79012499999999,89.79,0.0001249999999828333,0.0001249999999828333
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,32,11,43.61525,43.615,0.0002500000000011937,0.0002500000000011937
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,53,120,77.50971874999999,77.51,-0.0002812500000146656,0.0002812500000146656
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,48,20,69.1803,69.18,0.0002999999999957481,0.0002999999999957481
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,0,96,3.49957375,3.5,-0.00042624999999985036,0.00042624999999985036
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,31,109,42.474500000000006,42.475,-0.000499999999995282,0.000499999999995282
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,40,114,55.2305,55.23,0.0005000000000023874,0.0005000000000023874
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,38,14,53.801,53.8,0.0010000000000047748,0.0010000000000047748
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,43,17,58.211200000000005,58.21,0.0012000000000043087,0.0012000000000043087
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,42,115,56.318749999999994,56.32,-0.0012500000000059686,0.0012500000000059686
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,28,108,39.9567,39.955,0.0016999999999995907,0.0016999999999995907
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,49,118,70.1533,70.155,-0.0016999999999995907,0.0016999999999995907
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,132,54,264.0017,264.0,0.0017000000000280124,0.0017000000000280124
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,44,18,59.7829,59.785,-0.0020999999999986585,0.0020999999999986585
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,20,104,31.972749999999998,31.975,-0.002250000000003638,0.002250000000003638
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,22,105,33.417500000000004,33.42,-0.0024999999999977263,0.0024999999999977263
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,77,129,135.5525,135.55,0.0024999999999977263,0.0024999999999977263
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,144,62,351.4475,351.45,-0.0024999999999977263,0.0024999999999977263
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,39,15,54.3725,54.37,0.0025000000000048317,0.0025000000000048317
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,57,24,84.127425,84.13,-0.0025749999999931106,0.0025749999999931106
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,21,6,32.67225,32.675,-0.00274999999999892,0.00274999999999892
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,27,9,38.308,38.305,0.0030000000000001137,0.0030000000000001137
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,33,110,44.48835,44.485,0.0033499999999975216,0.0033499999999975216
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,82,132,143.8535,143.85,0.003500000000002501,0.003500000000002501
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,16,4,27.958750000000002,27.955,0.003750000000003695,0.003750000000003695
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,46,19,65.48384999999999,65.48,0.003849999999985698,0.003849999999985698
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,211,192,629.0041,629.0,0.004099999999993997,0.004099999999993997
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,120,149,228.64578952007938,228.65,-0.00421047992062995,0.00421047992062995
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,85,31,147.655,147.65,0.0049999999999954525,0.0049999999999954525
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,91,36,160.495,160.5,-0.0049999999999954525,0.0049999999999954525
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,214,94,633.30795,633.3,0.00795000000005075,0.00795000000005075
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,188,81,548.24005,548.25,-0.009950000000003456,0.009950000000003456
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,86,32,149.04000000000002,149.05,-0.009999999999990905,0.009999999999990905
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,164,71,426.0392601558315,426.05,-0.010739844168483614,0.010739844168483614
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,185,183,521.93825,521.95,-0.011750000000006366,0.011750000000006366
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,133,55,272.8619,272.85,0.011899999999968713,0.011899999999968713
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,186,80,531.73785,531.75,-0.012150000000019645,0.012150000000019645
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,182,181,500.0869295716733,500.1,-0.013070428326727779,0.013070428326727779
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,153,65,370.7645,370.75,0.014499999999998181,0.014499999999998181
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,151,64,368.115,368.1,0.014999999999986358,0.014999999999986358
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,195,188,560.4336,560.45,-0.016400000000089676,0.016400000000089676
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,137,58,316.33349999999996,316.35,-0.016500000000064574,0.016500000000064574
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,173,75,463.1322604417651,463.15,-0.017739558234893593,0.017739558234893593
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,160,69,393.5816900862267,393.6,-0.018309913773350672,0.018309913773350672
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,93,37,163.82,163.8,0.01999999999998181,0.01999999999998181
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,190,82,553.52405,553.55,-0.025949999999966167,0.025949999999966167
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,216,95,638.0735,638.1,-0.02650000000005548,0.02650000000005548
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,80,131,142.523,142.55,-0.027000000000015234,0.027000000000015234
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,37,13,49.622699999999995,49.65,-0.027300000000003877,0.027300000000003877
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,156,67,377.422,377.45,-0.027999999999963165,0.027999999999963165
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,150,166,367.3805,367.35,0.03049999999996089,0.03049999999996089
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,14,99,24.558500000000002,24.59,-0.03149999999999764,0.03149999999999764
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,4,97,12.74625,12.779,-0.03275000000000006,0.03275000000000006
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,155,66,375.916,375.95,-0.033999999999991815,0.033999999999991815
