catalogue_id,catalogue_label,catalogue_short_label,dataset_id,dataset_label,model_id,term,beta,rate_ratio_per_unit,event_class,event_class_label
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,pre_phase,intercept,-1.8759866256900728,0.15320373751057978,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,pre_phase,pre_phase_sin,-0.12272568044104067,0.8845062666527407,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,pre_phase,pre_phase_cos,0.2719644844106989,1.3125403848380583,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,lr04_pre_phase,intercept,-1.8764927029882041,0.15312622419255642,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,lr04_pre_phase,lr04_scaled,-0.13822751467486447,0.8709005265537704,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,lr04_pre_phase,pre_phase_sin,-0.11358926042770302,0.8926245168089717,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,lr04_pre_phase,pre_phase_cos,0.2673248921607653,1.30646483757027,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,co2_pre_phase,intercept,-1.876117955036429,0.1531836186849982,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,co2_pre_phase,co2_scaled,-0.07736662595396186,0.925550460574602,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,co2_pre_phase,pre_phase_sin,-0.1254124708321341,0.8821329734130744,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,co2_pre_phase,pre_phase_cos,0.2738457125282652,1.3150118967253908,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,climate_lr04_co2_pre_phase,intercept,-1.8794539611337704,0.1526734486373844,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,climate_lr04_co2_pre_phase,lr04_scaled,-0.6476561585006955,0.5232708043916074,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,climate_lr04_co2_pre_phase,co2_scaled,-0.6404836953071367,0.5270374368450772,strong_or_gi_start,Strong/GI start
