event_age_ka,event_index,event_type,event_label,event_class,event_class_label,catalogue_id,catalogue_label,catalogue_short_label,source
182.55,44,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
190.65,45,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
192.75,46,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
198.95,47,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
219.05,48,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
225.2,49,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
230.75,50,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
241.65,51,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
248.25,52,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
251.15,53,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
258.75,54,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
264.0,55,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
272.85,56,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
293.9,57,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
315.45,58,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
316.35,59,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
332.45,60,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
