order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
21,79.035,79.035,weak_monsoon_start,0.6-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,50
22,88.425,88.425,weak_monsoon_start,0.6-4,common_same_date,88.425,0,Rousseau et al. 2023 Scientific Reports Table 1,5,53
23,98.65,98.650,weak_monsoon_start,0.6-4,common_same_date,98.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,55
24,100.35,100.350,weak_monsoon_start,0.6-4,common_same_date,100.35,0,Rousseau et al. 2023 Scientific Reports Table 1,6,56
25,106.35,106.350,weak_monsoon_start,0.6-4,common_same_date,106.35,0,Rousseau et al. 2023 Scientific Reports Table 1,6,59
26,117.45,117.450,weak_monsoon_start,0.6-4,common_same_date,117.45,0,Rousseau et al. 2023 Scientific Reports Table 1,6,61
27,120.55,120.550,weak_monsoon_start,0.6-4,common_same_date,120.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,62
28,135.55,135.550,weak_monsoon_start,0.6-4,common_same_date,135.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,66
29,142.55,142.550,weak_monsoon_start,0.6-4,common_same_date,142.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,68
30,143.95,143.950,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,143.85,-0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,69
31,158.95,158.950,weak_monsoon_start,0.6-4,common_same_date,158.95,0,Rousseau et al. 2023 Scientific Reports Table 1,6,77
32,162.2,162.200,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,162,-0.2,Rousseau et al. 2023 Scientific Reports Table 1,6,79
33,165.15,165.150,weak_monsoon_start,0.6-4,common_same_date,165.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,81
34,166.8,166.800,weak_monsoon_start,0.6-4,common_same_date,166.8,0,Rousseau et al. 2023 Scientific Reports Table 1,6,82
35,171.05,171.050,weak_monsoon_start,0.6-4,common_same_date,171.05,0,Rousseau et al. 2023 Scientific Reports Table 1,6,86
36,174.85,174.850,weak_monsoon_start,0.6-4,common_same_date,174.85,0,Rousseau et al. 2023 Scientific Reports Table 1,6,88
37,179.65,179.650,weak_monsoon_start,0.6-4,common_same_date,179.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,91
38,187.75,187.750,weak_monsoon_start,0.6-4,common_same_date,187.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,93
39,191.75,191.750,weak_monsoon_start,0.6-4,common_same_date,191.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,95
40,193.25,193.250,weak_monsoon_start,0.6-4,common_same_date,193.25,0,Rousseau et al. 2023 Scientific Reports Table 1,6,97
41,201.15,201.150,weak_monsoon_start,0.6-4,common_same_date,201.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,99
42,209.25,209.250,weak_monsoon_start,0.6-4,common_same_date,209.25,0,Rousseau et al. 2023 Scientific Reports Table 1,6,100
43,220.95,220.950,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,221.05,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,102
44,228.65,228.650,weak_monsoon_start,0.6-4,common_same_date,228.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,104
45,234,234.000,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,234.15,0.15,Rousseau et al. 2023 Scientific Reports Table 1,6,107
46,246.45,246.450,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,246.75,0.3,Rousseau et al. 2023 Scientific Reports Table 1,7,109
47,250.05,250.050,weak_monsoon_start,0.6-4,common_same_date,250.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,111
48,252.15,252.150,weak_monsoon_start,0.6-4,common_same_date,252.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,113
49,256.05,256.050,weak_monsoon_start,0.6-4,common_same_date,256.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,114
50,259.65,259.650,weak_monsoon_start,0.6-4,common_same_date,259.65,0,Rousseau et al. 2023 Scientific Reports Table 1,7,116
51,276.95,276.950,weak_monsoon_start,0.6-4,common_same_date,276.95,0,Rousseau et al. 2023 Scientific Reports Table 1,7,119
52,281.4,281.400,weak_monsoon_start,0.6-4,common_same_date,281.4,0,Rousseau et al. 2023 Scientific Reports Table 1,7,120
53,284.7,284.700,weak_monsoon_start,0.6-4,common_same_date,284.7,0,Rousseau et al. 2023 Scientific Reports Table 1,7,121
54,307.25,307.250,weak_monsoon_start,0.6-4,common_same_date,307.25,0,Rousseau et al. 2023 Scientific Reports Table 1,7,123
55,318.05,318.050,weak_monsoon_start,0.6-4,common_same_date,318.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,126
56,324.15,324.150,weak_monsoon_start,0.6-4,common_same_date,324.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,127
57,341.15,341.150,weak_monsoon_start,0.6-4,common_same_date,341.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,131
58,349.55,349.550,weak_monsoon_start,0.6-4,common_same_date,349.55,0,Rousseau et al. 2023 Scientific Reports Table 1,7,132
59,364.35,364.350,weak_monsoon_start,0.6-4,common_same_date,364.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,134
60,367.35,367.350,weak_monsoon_start,0.6-4,common_same_date,367.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,136
61,369.55,369.550,weak_monsoon_start,0.6-4,common_same_date,369.55,0,Rousseau et al. 2023 Scientific Reports Table 1,7,139
62,371.95,371.950,weak_monsoon_start,0.6-4,common_same_date,371.95,0,Rousseau et al. 2023 Scientific Reports Table 1,7,142
63,378.65,378.650,weak_monsoon_start,0.6-4,common_same_date,378.65,0,Rousseau et al. 2023 Scientific Reports Table 1,7,145
64,398.85,398.850,weak_monsoon_start,0.6-4,common_same_date,398.85,0,Rousseau et al. 2023 Scientific Reports Table 1,7,148
65,430.15,430.150,weak_monsoon_start,0.6-4,common_same_date,430.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,151
66,442.95,442.950,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,441.85,-1.1,Rousseau et al. 2023 Scientific Reports Table 1,7,152
67,453.55,453.550,weak_monsoon_start,0.6-4,common_same_date,453.55,0,Rousseau et al. 2023 Scientific Reports Table 1,7,155
68,457.35,457.350,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,457.6,0.25,Rousseau et al. 2023 Scientific Reports Table 1,7,156
69,460.15,460.150,weak_monsoon_start,0.6-4,common_same_date,460.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,158
70,467.35,467.350,weak_monsoon_start,0.6-4,common_same_date,467.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,161
71,475.35,475.350,weak_monsoon_start,0.6-4,common_same_date,475.35,0,Rousseau et al. 2023 Scientific Reports Table 1,8,163
72,479.05,479.050,weak_monsoon_start,0.6-4,common_same_date,479.05,0,Rousseau et al. 2023 Scientific Reports Table 1,8,164
73,500.1,500.100,weak_monsoon_start,0.6-4,common_same_date,500.1,0,Rousseau et al. 2023 Scientific Reports Table 1,8,166
74,513.95,513.950,weak_monsoon_start,0.6-4,common_same_date,513.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,168
75,515.85,515.850,weak_monsoon_start,0.6-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,8,169
76,521.95,521.950,weak_monsoon_start,0.6-4,common_same_date,521.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,170
77,535,535.000,weak_monsoon_start,0.6-4,common_same_date,535,0,Rousseau et al. 2023 Scientific Reports Table 1,8,172
78,550.75,550.750,weak_monsoon_start,0.6-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,8,174
79,552.7,552.700,weak_monsoon_start,0.6-4,common_same_date,552.7,0,Rousseau et al. 2023 Scientific Reports Table 1,8,175
80,554.2,554.200,weak_monsoon_start,0.6-4,common_same_date,554.2,0,Rousseau et al. 2023 Scientific Reports Table 1,8,177
81,556.95,556.950,weak_monsoon_start,0.6-4,common_same_date,556.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,179
82,560.45,560.450,weak_monsoon_start,0.6-4,common_same_date,560.45,0,Rousseau et al. 2023 Scientific Reports Table 1,8,181
83,569.5,569.500,weak_monsoon_start,0.6-4,common_same_date,569.5,0,Rousseau et al. 2023 Scientific Reports Table 1,8,184
84,589.8,589.800,weak_monsoon_start,0.6-4,common_same_date,589.8,0,Rousseau et al. 2023 Scientific Reports Table 1,8,187
85,614.9,614.900,weak_monsoon_start,0.6-4,common_same_date,614.9,0,Rousseau et al. 2023 Scientific Reports Table 1,8,192
86,628.85,628.850,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,629,0.15,Rousseau et al. 2023 Scientific Reports Table 1,8,195
87,632.3,632.300,weak_monsoon_start,0.6-4,common_same_date,632.3,0,Rousseau et al. 2023 Scientific Reports Table 1,8,197
88,635.2,635.200,weak_monsoon_start,0.6-4,common_same_date,635.2,0,Rousseau et al. 2023 Scientific Reports Table 1,8,199
89,636.8,636.800,weak_monsoon_start,0.6-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,8,200
90,639.2,639.200,weak_monsoon_start,0.6-4,common_same_date,639.2,0,Rousseau et al. 2023 Scientific Reports Table 1,8,202
