order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
27,98.65,98.650,weak_monsoon_start,0.4-4,common_same_date,98.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,55
28,100.35,100.350,weak_monsoon_start,0.4-4,common_same_date,100.35,0,Rousseau et al. 2023 Scientific Reports Table 1,6,56
29,105.75,105.750,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,58
30,106.35,106.350,weak_monsoon_start,0.4-4,common_same_date,106.35,0,Rousseau et al. 2023 Scientific Reports Table 1,6,59
31,117.45,117.450,weak_monsoon_start,0.4-4,common_same_date,117.45,0,Rousseau et al. 2023 Scientific Reports Table 1,6,61
32,120.55,120.550,weak_monsoon_start,0.4-4,common_same_date,120.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,62
33,133.25,133.250,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,65
34,135.55,135.550,weak_monsoon_start,0.4-4,common_same_date,135.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,66
35,139.35,139.350,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,67
36,142.55,142.550,weak_monsoon_start,0.4-4,common_same_date,142.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,68
37,143.85,143.850,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,143.95,-0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,69
38,147.05,147.050,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,70
39,151.05,151.050,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,73
40,158.95,158.950,weak_monsoon_start,0.4-4,common_same_date,158.95,0,Rousseau et al. 2023 Scientific Reports Table 1,6,77
41,162,162.000,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,162.2,-0.2,Rousseau et al. 2023 Scientific Reports Table 1,6,79
42,165.15,165.150,weak_monsoon_start,0.4-4,common_same_date,165.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,81
43,166.8,166.800,weak_monsoon_start,0.4-4,common_same_date,166.8,0,Rousseau et al. 2023 Scientific Reports Table 1,6,82
44,170.25,170.250,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,85
45,171.05,171.050,weak_monsoon_start,0.4-4,common_same_date,171.05,0,Rousseau et al. 2023 Scientific Reports Table 1,6,86
46,174.85,174.850,weak_monsoon_start,0.4-4,common_same_date,174.85,0,Rousseau et al. 2023 Scientific Reports Table 1,6,88
47,179.65,179.650,weak_monsoon_start,0.4-4,common_same_date,179.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,91
48,187.75,187.750,weak_monsoon_start,0.4-4,common_same_date,187.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,93
49,191.75,191.750,weak_monsoon_start,0.4-4,common_same_date,191.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,95
50,193.25,193.250,weak_monsoon_start,0.4-4,common_same_date,193.25,0,Rousseau et al. 2023 Scientific Reports Table 1,6,97
51,201.15,201.150,weak_monsoon_start,0.4-4,common_same_date,201.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,99
52,209.25,209.250,weak_monsoon_start,0.4-4,common_same_date,209.25,0,Rousseau et al. 2023 Scientific Reports Table 1,6,100
53,221.05,221.050,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,220.95,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,102
54,228.65,228.650,weak_monsoon_start,0.4-4,common_same_date,228.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,104
55,232.65,232.650,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,106
56,234.15,234.150,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,234,0.15,Rousseau et al. 2023 Scientific Reports Table 1,6,107
57,246.75,246.750,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,246.45,0.3,Rousseau et al. 2023 Scientific Reports Table 1,7,109
58,250.05,250.050,weak_monsoon_start,0.4-4,common_same_date,250.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,111
59,252.15,252.150,weak_monsoon_start,0.4-4,common_same_date,252.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,113
60,256.05,256.050,weak_monsoon_start,0.4-4,common_same_date,256.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,114
61,259.65,259.650,weak_monsoon_start,0.4-4,common_same_date,259.65,0,Rousseau et al. 2023 Scientific Reports Table 1,7,116
62,276.95,276.950,weak_monsoon_start,0.4-4,common_same_date,276.95,0,Rousseau et al. 2023 Scientific Reports Table 1,7,119
63,281.4,281.400,weak_monsoon_start,0.4-4,common_same_date,281.4,0,Rousseau et al. 2023 Scientific Reports Table 1,7,120
64,284.7,284.700,weak_monsoon_start,0.4-4,common_same_date,284.7,0,Rousseau et al. 2023 Scientific Reports Table 1,7,121
65,307.25,307.250,weak_monsoon_start,0.4-4,common_same_date,307.25,0,Rousseau et al. 2023 Scientific Reports Table 1,7,123
66,318.05,318.050,weak_monsoon_start,0.4-4,common_same_date,318.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,126
67,324.15,324.150,weak_monsoon_start,0.4-4,common_same_date,324.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,127
68,341.15,341.150,weak_monsoon_start,0.4-4,common_same_date,341.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,131
69,349.55,349.550,weak_monsoon_start,0.4-4,common_same_date,349.55,0,Rousseau et al. 2023 Scientific Reports Table 1,7,132
70,364.35,364.350,weak_monsoon_start,0.4-4,common_same_date,364.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,134
71,367.35,367.350,weak_monsoon_start,0.4-4,common_same_date,367.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,136
72,368.65,368.650,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,7,138
73,369.55,369.550,weak_monsoon_start,0.4-4,common_same_date,369.55,0,Rousseau et al. 2023 Scientific Reports Table 1,7,139
74,371.55,371.550,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,7,141
75,371.95,371.950,weak_monsoon_start,0.4-4,common_same_date,371.95,0,Rousseau et al. 2023 Scientific Reports Table 1,7,142
76,378.65,378.650,weak_monsoon_start,0.4-4,common_same_date,378.65,0,Rousseau et al. 2023 Scientific Reports Table 1,7,145
77,398.85,398.850,weak_monsoon_start,0.4-4,common_same_date,398.85,0,Rousseau et al. 2023 Scientific Reports Table 1,7,148
78,430.15,430.150,weak_monsoon_start,0.4-4,common_same_date,430.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,151
79,441.85,441.850,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,442.95,-1.1,Rousseau et al. 2023 Scientific Reports Table 1,7,152
80,453.55,453.550,weak_monsoon_start,0.4-4,common_same_date,453.55,0,Rousseau et al. 2023 Scientific Reports Table 1,7,155
81,457.6,457.600,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,457.35,0.25,Rousseau et al. 2023 Scientific Reports Table 1,7,156
82,460.15,460.150,weak_monsoon_start,0.4-4,common_same_date,460.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,158
83,467.35,467.350,weak_monsoon_start,0.4-4,common_same_date,467.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,161
84,475.35,475.350,weak_monsoon_start,0.4-4,common_same_date,475.35,0,Rousseau et al. 2023 Scientific Reports Table 1,8,163
85,479.05,479.050,weak_monsoon_start,0.4-4,common_same_date,479.05,0,Rousseau et al. 2023 Scientific Reports Table 1,8,164
86,500.1,500.100,weak_monsoon_start,0.4-4,common_same_date,500.1,0,Rousseau et al. 2023 Scientific Reports Table 1,8,166
87,513.95,513.950,weak_monsoon_start,0.4-4,common_same_date,513.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,168
88,521.95,521.950,weak_monsoon_start,0.4-4,common_same_date,521.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,170
89,535,535.000,weak_monsoon_start,0.4-4,common_same_date,535,0,Rousseau et al. 2023 Scientific Reports Table 1,8,172
90,552.7,552.700,weak_monsoon_start,0.4-4,common_same_date,552.7,0,Rousseau et al. 2023 Scientific Reports Table 1,8,175
91,554.2,554.200,weak_monsoon_start,0.4-4,common_same_date,554.2,0,Rousseau et al. 2023 Scientific Reports Table 1,8,177
92,556.95,556.950,weak_monsoon_start,0.4-4,common_same_date,556.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,179
93,560.45,560.450,weak_monsoon_start,0.4-4,common_same_date,560.45,0,Rousseau et al. 2023 Scientific Reports Table 1,8,181
94,569.5,569.500,weak_monsoon_start,0.4-4,common_same_date,569.5,0,Rousseau et al. 2023 Scientific Reports Table 1,8,184
95,589.8,589.800,weak_monsoon_start,0.4-4,common_same_date,589.8,0,Rousseau et al. 2023 Scientific Reports Table 1,8,187
96,614.9,614.900,weak_monsoon_start,0.4-4,common_same_date,614.9,0,Rousseau et al. 2023 Scientific Reports Table 1,8,192
97,629,629.000,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,628.85,0.15,Rousseau et al. 2023 Scientific Reports Table 1,8,195
98,632.3,632.300,weak_monsoon_start,0.4-4,common_same_date,632.3,0,Rousseau et al. 2023 Scientific Reports Table 1,8,197
99,635.2,635.200,weak_monsoon_start,0.4-4,common_same_date,635.2,0,Rousseau et al. 2023 Scientific Reports Table 1,8,199
100,639.2,639.200,weak_monsoon_start,0.4-4,common_same_date,639.2,0,Rousseau et al. 2023 Scientific Reports Table 1,8,202
