order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
14,49.65,49.650,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,32
15,53.8,53.800,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,53.745,0.055,Rousseau et al. 2023 Scientific Reports Table 1,5,33
16,54.37,54.370,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,34
17,55.745,55.745,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,36
18,58.21,58.210,strong_monsoon_start,0.4-4,common_same_date,58.21,0,Rousseau et al. 2023 Scientific Reports Table 1,5,38
19,59.785,59.785,strong_monsoon_start,0.4-4,common_same_date,59.785,0,Rousseau et al. 2023 Scientific Reports Table 1,5,39
20,65.48,65.480,strong_monsoon_start,0.4-4,common_same_date,65.48,0,Rousseau et al. 2023 Scientific Reports Table 1,5,40
21,69.18,69.180,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,42
22,72.285,72.285,strong_monsoon_start,0.4-4,common_same_date,72.285,0,Rousseau et al. 2023 Scientific Reports Table 1,5,45
23,75.28,75.280,strong_monsoon_start,0.4-4,common_same_date,75.28,0,Rousseau et al. 2023 Scientific Reports Table 1,5,47
24,76.245,76.245,strong_monsoon_start,0.4-4,common_same_date,76.245,0,Rousseau et al. 2023 Scientific Reports Table 1,5,48
25,84.13,84.130,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,84.03,0.1,Rousseau et al. 2023 Scientific Reports Table 1,5,51
26,85,85.000,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,52
27,89.79,89.790,strong_monsoon_start,0.4-4,common_same_date,89.79,0,Rousseau et al. 2023 Scientific Reports Table 1,5,54
28,105.15,105.150,strong_monsoon_start,0.4-4,common_same_date,105.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,57
29,108.55,108.550,strong_monsoon_start,0.4-4,common_same_date,108.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,60
30,128.55,128.550,strong_monsoon_start,0.4-4,common_same_date,128.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,63
31,130.45,130.450,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,64
32,147.65,147.650,strong_monsoon_start,0.4-4,common_same_date,147.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,71
33,149.05,149.050,strong_monsoon_start,0.4-4,common_same_date,149.05,0,Rousseau et al. 2023 Scientific Reports Table 1,6,72
34,151.75,151.750,strong_monsoon_start,0.4-4,common_same_date,151.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,74
35,157.05,157.050,strong_monsoon_start,0.4-4,common_same_date,157.05,0,Rousseau et al. 2023 Scientific Reports Table 1,6,75
36,158.15,158.150,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,76
37,160.5,160.500,strong_monsoon_start,0.4-4,common_same_date,160.5,0,Rousseau et al. 2023 Scientific Reports Table 1,6,78
38,163.8,163.800,strong_monsoon_start,0.4-4,common_same_date,163.8,0,Rousseau et al. 2023 Scientific Reports Table 1,6,80
39,168.75,168.750,strong_monsoon_start,0.4-4,common_same_date,168.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,83
40,169.55,169.550,strong_monsoon_start,0.4-4,common_same_date,169.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,84
41,173.15,173.150,strong_monsoon_start,0.4-4,common_same_date,173.15,0,Rousseau et al. 2023 Scientific Reports Table 1,6,87
42,176.25,176.250,strong_monsoon_start,0.4-4,common_same_date,176.25,0,Rousseau et al. 2023 Scientific Reports Table 1,6,89
43,177.95,177.950,strong_monsoon_start,0.4-4,common_same_date,177.95,0,Rousseau et al. 2023 Scientific Reports Table 1,6,90
44,182.55,182.550,strong_monsoon_start,0.4-4,common_same_date,182.55,0,Rousseau et al. 2023 Scientific Reports Table 1,6,92
45,190.65,190.650,strong_monsoon_start,0.4-4,common_same_date,190.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,94
46,192.75,192.750,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,192.65,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,96
47,198.95,198.950,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,198.85,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,98
48,219.05,219.050,strong_monsoon_start,0.4-4,common_same_date,219.05,0,Rousseau et al. 2023 Scientific Reports Table 1,6,101
49,225.2,225.200,strong_monsoon_start,0.4-4,common_same_date,225.2,0,Rousseau et al. 2023 Scientific Reports Table 1,6,103
50,230.75,230.750,strong_monsoon_start,0.4-4,common_same_date,230.75,0,Rousseau et al. 2023 Scientific Reports Table 1,6,105
51,241.65,241.650,strong_monsoon_start,0.4-4,common_same_date,241.65,0,Rousseau et al. 2023 Scientific Reports Table 1,6,108
52,248.25,248.250,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,248.35,-0.1,Rousseau et al. 2023 Scientific Reports Table 1,7,110
53,251.15,251.150,strong_monsoon_start,0.4-4,common_same_date,251.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,112
54,258.75,258.750,strong_monsoon_start,0.4-4,common_same_date,258.75,0,Rousseau et al. 2023 Scientific Reports Table 1,7,115
55,264,264.000,strong_monsoon_start,0.4-4,common_same_date,264,0,Rousseau et al. 2023 Scientific Reports Table 1,7,117
56,272.85,272.850,strong_monsoon_start,0.4-4,common_same_date,272.85,0,Rousseau et al. 2023 Scientific Reports Table 1,7,118
57,293.9,293.900,strong_monsoon_start,0.4-4,common_same_date,293.9,0,Rousseau et al. 2023 Scientific Reports Table 1,7,122
58,315.45,315.450,strong_monsoon_start,0.4-4,common_same_date,315.45,0,Rousseau et al. 2023 Scientific Reports Table 1,7,124
59,316.35,316.350,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,316.25,0.1,Rousseau et al. 2023 Scientific Reports Table 1,7,125
60,332.45,332.450,strong_monsoon_start,0.4-4,common_same_date,332.45,0,Rousseau et al. 2023 Scientific Reports Table 1,7,128
61,334.05,334.050,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,333.85,0.2,Rousseau et al. 2023 Scientific Reports Table 1,7,129
62,337.35,337.350,strong_monsoon_start,0.4-4,common_same_date,337.35,0,Rousseau et al. 2023 Scientific Reports Table 1,7,130
63,351.45,351.450,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,351.15,0.3,Rousseau et al. 2023 Scientific Reports Table 1,7,133
64,365.65,365.650,strong_monsoon_start,0.4-4,common_same_date,365.65,0,Rousseau et al. 2023 Scientific Reports Table 1,7,135
65,368.1,368.100,strong_monsoon_start,0.4-4,common_same_date,368.1,0,Rousseau et al. 2023 Scientific Reports Table 1,7,137
66,370.75,370.750,strong_monsoon_start,0.4-4,common_same_date,370.75,0,Rousseau et al. 2023 Scientific Reports Table 1,7,140
67,375.95,375.950,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,7,143
68,377.45,377.450,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,377.25,0.2,Rousseau et al. 2023 Scientific Reports Table 1,7,144
69,390.8,390.800,strong_monsoon_start,0.4-4,common_same_date,390.8,0,Rousseau et al. 2023 Scientific Reports Table 1,7,146
70,393.6,393.600,strong_monsoon_start,0.4-4,common_same_date,393.6,0,Rousseau et al. 2023 Scientific Reports Table 1,7,147
71,412.25,412.250,strong_monsoon_start,0.4-4,common_same_date,412.25,0,Rousseau et al. 2023 Scientific Reports Table 1,7,149
72,426.05,426.050,strong_monsoon_start,0.4-4,common_same_date,426.05,0,Rousseau et al. 2023 Scientific Reports Table 1,7,150
73,447.4,447.400,strong_monsoon_start,0.4-4,common_same_date,447.4,0,Rousseau et al. 2023 Scientific Reports Table 1,7,153
74,449.45,449.450,strong_monsoon_start,0.4-4,common_same_date,449.45,0,Rousseau et al. 2023 Scientific Reports Table 1,7,154
75,458.9,458.900,strong_monsoon_start,0.4-4,common_same_date,458.9,0,Rousseau et al. 2023 Scientific Reports Table 1,7,157
76,463.15,463.150,strong_monsoon_start,0.4-4,common_same_date,463.15,0,Rousseau et al. 2023 Scientific Reports Table 1,7,159
77,465.95,465.950,strong_monsoon_start,0.4-4,common_same_date,465.95,0,Rousseau et al. 2023 Scientific Reports Table 1,7,160
78,472.75,472.750,strong_monsoon_start,0.4-4,common_same_date,472.75,0,Rousseau et al. 2023 Scientific Reports Table 1,7,162
79,483.65,483.650,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,484.15,-0.5,Rousseau et al. 2023 Scientific Reports Table 1,8,165
80,504.15,504.150,strong_monsoon_start,0.4-4,common_same_date,504.15,0,Rousseau et al. 2023 Scientific Reports Table 1,8,167
81,531.75,531.750,strong_monsoon_start,0.4-4,common_same_date,531.75,0,Rousseau et al. 2023 Scientific Reports Table 1,8,171
82,548.25,548.250,strong_monsoon_start,0.4-4,common_same_date,548.25,0,Rousseau et al. 2023 Scientific Reports Table 1,8,173
83,553.55,553.550,strong_monsoon_start,0.4-4,common_same_date,553.55,0,Rousseau et al. 2023 Scientific Reports Table 1,8,176
84,555.65,555.650,strong_monsoon_start,0.4-4,common_same_date,555.65,0,Rousseau et al. 2023 Scientific Reports Table 1,8,178
85,559.15,559.150,strong_monsoon_start,0.4-4,common_same_date,559.15,0,Rousseau et al. 2023 Scientific Reports Table 1,8,180
86,561.25,561.250,strong_monsoon_start,0.4-4,common_same_date,561.25,0,Rousseau et al. 2023 Scientific Reports Table 1,8,182
87,562.25,562.250,strong_monsoon_start,0.4-4,common_same_date,562.25,0,Rousseau et al. 2023 Scientific Reports Table 1,8,183
88,580.3,580.300,strong_monsoon_start,0.4-4,common_same_date,580.3,0,Rousseau et al. 2023 Scientific Reports Table 1,8,185
89,582.95,582.950,strong_monsoon_start,0.4-4,common_same_date,582.95,0,Rousseau et al. 2023 Scientific Reports Table 1,8,186
90,593.9,593.900,strong_monsoon_start,0.4-4,common_same_date,593.9,0,Rousseau et al. 2023 Scientific Reports Table 1,8,188
91,604,604.000,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,8,191
92,625.65,625.650,strong_monsoon_start,0.4-4,common_same_date,625.65,0,Rousseau et al. 2023 Scientific Reports Table 1,8,193
93,627.55,627.550,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,627.4,0.15,Rousseau et al. 2023 Scientific Reports Table 1,8,194
94,630.1,630.100,strong_monsoon_start,0.4-4,common_same_date,630.1,0,Rousseau et al. 2023 Scientific Reports Table 1,8,196
95,633.3,633.300,strong_monsoon_start,0.4-4,common_same_date,633.3,0,Rousseau et al. 2023 Scientific Reports Table 1,8,198
96,638.1,638.100,strong_monsoon_start,0.4-4,common_same_date,638.1,0,Rousseau et al. 2023 Scientific Reports Table 1,8,201
